,cid,votes,time,含village,含village中文翻译
23122,Ugy4jXItRyEda70YHsl4AaABAg,15,3 years ago (edited),"i am a chinese who lived in the village when i was child. through we didn't have her so exquisite life. but i remember, we had a little gardon of my house. in the spring and summer, our gardon had so many green food to eat. and my mother cooked them for me. then i grow up, we all move in the city. we have a better life now, not poor any more . but we nerve have the gardon any more.",我是一个中国人，小时候住在村里。通过我们没有她那么精致的生活。但是我记得，我们家里有一点加尔顿。在春季和夏季，我们的Gardon有很多绿色食物可以吃。我妈妈为我做饭。然后我长大了，我们都搬到了这座城市。我们现在的生活更好，不再贫穷了。但是我们不断拥有加尔顿。
23808,Ugy19kiDCUhF90-ZqKJ4AaABAg,15,3 years ago,"there is a fairy, the villagers have a strong smell, the memories of childhood, the aftertaste is endless, positive.",、有仙气，乡士气味浓厚，童年回忆、，回味无穷，正。
30529,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xHhTbtbPLL,13,3 years ago,"@odee126 man you're just brainwashed by west propaganda. this girl made videos on china's website such as bilibili far more early than youtube along with other video makers. they join youtube because of competition and the huge benefits. another reason is that almost every village of china now connects to 4g, so you see more villager using youtube and upload videos now. talking about their tool vpn, it is legal to use but illegal sell it, we have no problem if we just use it. furthermore, this is also not a better image of china, the real better image of china is an advanced, tech-originated country which we are going to meet soon lead by our government. so i am pretty sure that there is no national support for this kind of videos, it is just your own imagination based on the bias to china and anti-china's west propaganda you've received in decades.",@odee126男人，你只是被西部宣传洗脑了。这个女孩在中国网站上制作了视频，例如比利比利（Bilibili）和其他视频制作人更早。他们由于竞争和巨大好处而加入YouTube。另一个原因是，中国几乎每个村庄现在都连接到4G，因此您现在看到更多的村民使用YouTube并上传视频。谈论他们的工具VPN，使用合法，但非法出售它，如果我们只使用它，我们就没有问题。此外，这也不是中国更好的形象，中国的真正更好形象是一个先进的，以技术培养的国家，我们将很快见到政府的领导。因此，我很确定没有国家对这种视频的支持，这只是您自己的想象力，基于对中国的偏见和您几十年来您收到的反中国的西方宣传。
20963,UgzDA7LvsQaDocWgzfh4AaABAg.944JVs0uHe0949vfDbs7pc,12,3 years ago,"cherry w. mann i was thinking the same too. but she had been living in city before. she know how to do photo and etx. she is liziqi girl who raised by her grandma, then going to the capital city(beijing)to take her career, later she was going back to village in sichuan, china to take care of her grandma.
she is hoping that all of people who are living in city know how the food come from.","Cherry W. Mann我也在想。但是她以前曾住在城市。她知道如何拍照和ETX。她是Liziqi女孩，她是由祖母抚养长大的，然后去首都（北京）去职业生涯，后来她回到中国四川的村庄照顾祖母。
她希望所有住在城市的人都知道食物的来源。"
3533,UgzxWXyl3rFUF_YUDVh4AaABAg,11,1 year ago,this video truly pleasing to eye and heart also.... that place become my dream destination now ❤how beautiful is her village. lucky girl,这个视频也真正令人愉悦。幸运的女孩
34654,UgwIubx7mqS6SYaXx_x4AaABAg,11,4 years ago,"i wish could live like her...
she beautiful,clever and do everthing alone...love you girl...the village so nice and eating fresh fruit and vege...so good...","我希望能像她一样生活...
她美丽，聪明，独自一人做事...爱你的女孩...村庄真好，吃新鲜的水果和蔬菜...太好了..."
41008,Ugy_R9RP2iz3_0hCUyB4AaABAg,10,4 years ago,"so tranquil and beautiful video. i like how you have started to include the life around her too. like the village, other people and the animals. it broadens our horizon of understanding. loved it.",如此宁静和美丽的视频。我喜欢您也开始包括她周围的生活。像村庄，其他人和动物。它扩大了我们的理解视野。爱它。
26276,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9-ALgImtB9X,7,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
36986,Ugys5HUZ3Qn6uKkPGj14AaABAg.8uLTm1B6D-P8uXUAaejNF8,7,4 years ago,"it easy to say than done. coming from someone who asked for it and my father was like ""lol aight"" and sent me to the village he was born. i lived with my grandma and pa and i couldn't even survive for 2 days dkfjfjjf ๐ญ๐’€๐’€ (i lived around the mountain regions but i gotta tell ya, the view was prettyโค๏ธ)",说出比完成的容易。来自一个要求它的人，我父亲就像“大声笑”，然后把我送到了他出生的村庄。我和奶奶和宾夕法尼亚州住在一起，甚至无法生存2天DKFJFJJF
6677,UgyOHuAwPdnAKKkF2-l4AaABAg,6,2 years ago,reminds me of my village where i grew up before shifting into this hectic city life'human-race' ♥️...lots of love from india,让我想起了我的村庄，我在这个忙碌的城市生活之前长大了……生活是如此相似的地球范围，刚刚被地理边界分开，但由“人类竞争”……♥茅。印度
34422,UgzJazh84cAwSDU800x4AaABAg,6,4 years ago,seriously...you cooking for whole village??;) love it. so relaxed to watch videos,说真的...你为整个村庄做饭吗？;）喜欢它。如此轻松观看视频
22318,UgxiQ9tLkqUOZgtByDd4AaABAg,6,3 years ago,i feel like iโ€m in an episode of inuyasha.. learning domestic life from one of the villagers while inuyasha is out hunting with the men... hope he enjoys the food we prepared for him shippo and maroku when they get back. i really put my all into it.,我觉得自己是在伊努雅夏（Inuyasha）的一集中。.伊努雅莎（Inuyasha）和男人一起狩猎时，从一个村民那里学习家庭生活……希望他喜欢我们为他准备的食物Shippo和Maroku回来时。我真的全力以赴。
10692,UgzggH3LcmPPa1jXggR4AaABAg.9FeQNDjrQiy9Ft1MHa6Gk8,6,2 years ago (edited),"not really, i used to live in a tropical village close to the mountain ,people were poor in money but rich in nature ,they didn't need a lot of money bec everything was there ,fruits , vegetables, etc ,you don't need a big land to live like this ,if you live in the village that whole village is yours bec it's for everyone",不是真的，我曾经住在靠近山附近的热带村庄，人们的钱很差，但大自然，他们不需要很多钱，因为一切都在那里，水果，蔬菜等，你不需要如果您住在整个村庄是您的村庄，则需要一个大土地才能这样生活
4248,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9U2N77UT8NN,6,1 year ago,"bruh it’s just china doing their promoting vids, trying to show how good their village life is…",布鲁（Bruh）只是中国在做他们的促进视频，试图展示他们的乡村生活的良好……
7766,UgwPkH3nXVFQvWpsFvB4AaABAg,6,2 years ago,"with this technology, you can be the eldest sister of all children in the village",有这手艺可以做村里所有小孩子的大姐大
17626,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98AQIr4XPqn,6,3 years ago,"her parents divorced when she was a kid. after her stepmother abused her, she went back to grandma and grew up with them. due to poverty, she dropped out of school at 14 and went to big city and tried to make a living. she moved back to village to take care of her sick grandma and started filming her life in rural. i wouldn’t argue whether it’s fake or not. she created a life that many ppl wants to own. given her background, what an achievement!",她的父母小时候离婚。继母虐待她后，她回到奶奶，和他们一起长大。由于贫困，她在14岁时辍学，去了大城市，试图谋生。她搬回村庄照顾自己的奶奶，并开始在农村拍摄自己的生活。我不会争论是否是假的。她创造了许多人想要拥有的生活。鉴于她的背景，这是一项成就！
15113,UgxZzYiLffO8nUQIXuJ4AaABAg,5,3 years ago,"thank you liziqi for providing so much comfort at my life, every sec from your video reminding me of my sweet childhood in my village, if i ever went back their i will sure remember u always",谢谢Liziqi在我的一生中提供了如此多的安慰，您的视频中的每一部分都让我想起了我在村里的甜蜜童年，如果我回到他们的村庄，我肯定会记得你总是
49396,Ugwc2G9zgVIeMLRaiRB4AaABAg.8qm7ZLnWwLu8qmthU3X1RA,5,4 years ago,"@ramonavalentina654 i'm more aware than you think. btw, our villages look like this. it's the cinematography. :)",@ramonavalentina654我比您想象的要了解。顺便说一句，我们的村庄看起来像这样。这是摄影。 :)
37185,UgwzHj09Xa_FJN9qzeJ4AaABAg,5,4 years ago,"truly village life, girl and her pets and the nature all seems to come from heaven,love your simple pure life,from india wb",真正的乡村生活，女孩和她的宠物和自然似乎来自天堂，爱你简单的纯净生活，来自印度
2433,Ugxj1gd4bngAB7kl1PF4AaABAg,4,1 year ago,someday i will move from a noisy and dusty metropolis to the village and i will be happy,总有一天，我将从一个嘈杂而尘土飞扬的大都市搬到村庄，我会很高兴
8989,Ugx7el20bmry8DT5NJ14AaABAg,4,2 years ago,5:25 me when i saw the ice cream uncle in my village :d,5:25当我在村里看到冰淇淋叔叔时：D
21046,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO97_pG0vzm5M,4,3 years ago,@shannenlove8111 thanks ..in fact that further proves my point ...she hs bn employed as model ....no orphan /villager puts impeccable make up ...its all a set ..but it very good ..i m not saying it in negative way ..just telling the facts ..i like her,@shannenlove8111谢谢..实际上进一步证明了我的意思...她hs bn被用作模特....没有孤儿 /村民将无可挑剔的化妆构成...这一切都是一套。以负面的方式说这件事..只是告诉事实..我喜欢她
12899,Ugw_x_-SG-UCXNC2fHt4AaABAg,4,2 years ago,"this reminds me"" the village food channel""
they do similar traditional cook of south india","这使我想起了“乡村食品频道”
他们在印度南部做类似的传统厨师。"
24165,UgyzelBmx3xU_6SIPDp4AaABAg,4,3 years ago,"oh she has so cute company ,little dogs and sheep,birds are singing,cows,pigs,grass,flowers,unusual nice fruits and vegetables,garden,nice old village house,no plastic,nothing artificial, simply people,life without stress",哦，她有如此可爱的陪伴，小狗和绵羊，鸟儿在唱歌，牛，猪，草，花，不寻常的水果和蔬菜，花园，漂亮的老村房子，没有塑料，没有人造的，简单的人，没有压力的生活
34784,UgyQpM0HVnaBQhUMEap4AaABAg.8usp0Ub-hJg8veCHqR92vC,4,4 years ago,"yall bothered. 
a village like that has no good conection. there is internet but significantly worse.
and she has also a camera team and such.
her life is not better. it is limited. only the village, what more? i prefer the modern world. more modern places offer more, that is a simple fact.","你们都打扰了。
像这样的村庄没有好的构成。有互联网，但更糟。
她还有一个相机团队等。
她的生活不是更好。它是有限的。只有村庄，还有什么呢？我更喜欢现代世界。更现代的地方提供了更多的东西，这是一个简单的事实。"
34986,UgxZ2toL0ZJG8eVQmGp4AaABAg,4,4 years ago,mashallah tthe best video i've ever seen i love china villages,Mashallah T是我见过的最好的视频，我爱中国村庄
35073,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vwIHWYQdsZ,4,4 years ago,"@therewasnochill8997 well i m chinese, i have to say in our tradition girls will be considered as no need to go to school, the family will leave the opportunity to go to school to the boys in the family. but since 1910/1920s, chinese are fighting for women's right for education and working. nowadays, there is absolutely no limit and no problems for girls to go to school and to get higher education in normal city families. the whole society do not has any unequal signs for girls to get education, actually in current education structure, girls usually can get better scores and go to better universities in china as our tests in school is more focused on memorizing the answers or most of the tests have standard answers to the questions and girls usually more good at these tests then boys. but it is also true that in some of village families, especially in poor and small villages, they can't afford to go to bigger city and live there to study, or they have boys in the family also need to go to university, then they probably will choose to give the opportunity to the boys not the girls. but it really is a family problem not a general social problem. and i think there are similar family problems in every country (probably not to do with gender but with all other issues, eg can't afford to go big city/family number get ill and people choose to stay with families all these problems ). again there's absolutely no issue for girls to get education at all if they are willing to. china has the best equal opportunity rate for weman among all far asia countries regarding working opportunities and salary rate. my grand mum graduated from one of the best universities in china ๏ผzhejiang university ) in 1940s. my mum graduated from one of the best financial universities in shanghai (shanghai university of finance and economics)in 1980s, myself finished high school in shanghai and get in best art school in uk and own a master degree in arts. and non of my friends or heard any one lose their opportunity to go to school because they are girls.",@thenwasnochill8997我是中国人，我不得不说，在我们的传统中，女孩将被认为是不需要上学的，一家人将留下机会去上学。但是自1910年1920年代以来，中国人正在争取妇女的教育和工作权。如今，女孩绝对没有限制，女孩上学并在普通城市家庭中接受高等教育。整个社会没有任何不平等的迹象让女孩接受教育，实际上在当前的教育结构中，女孩通常可以获得更好的成绩，并且在中国的大学中获得更好的大学，因为我们在学校的考验更加专注于记住答案或大部分的答案测试对问题有标准答案，而女孩通常比男孩更擅长这些测试。但是，确实，在某些乡村家庭，尤其是在贫穷和小村庄中，他们负担不起去更大的城市去那里学习，或者家庭中的男孩也需要上大学，然后他们可能会选择给男孩而不是女孩提供机会。但这确实是一个家庭问题，而不是一个普遍的社会问题。而且我认为每个国家都有类似的家庭问题（可能与性别无关，但与所有其他问题有关，例如，大城市/家庭人数无法生病，人们选择与家人在一起所有这些问题）。同样，如果女孩愿意，女孩根本没有任何问题。在所有远亚洲国家，中国在工作机会和工资率方面拥有韦曼的最佳机会率。我的大妈妈于1940年代毕业于中国最好的大学之一。我的妈妈毕业于1980年代上海（上海金融与经济学大学）最好的金融大学之一，我本人在上海完成了高中，并在英国获得了最佳艺术学校，并拥有艺术硕士学位。而我的朋友或听说任何人都因为是女孩而失去了上学的机会。
27247,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-ALeRnaC-V,3,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
12568,UgyDYTKXiEQyhi9m2ll4AaABAg.9CyVJLQm4YV9EPhoYY728V,3,2 years ago,those from the village working in the farm are hardworking people esp those vwho have farm but vwhat shes doing is to earn more money as a vlogger,那些在农场工作的村庄的人是勤奋的人，尤其
40872,UgyWB-3ZEL3p1Vwd3V14AaABAg,3,4 years ago,what is the name of this village? it's awesome!!! i love the china!,这个村庄的名字是什么？这很棒！！！我爱中国！
39484,UgzC6zr31B60qlAQj2F4AaABAg,3,4 years ago,was she making food for the whole village? ๐… this vid is so peaceful tho ๐‘,她是为整个村庄做饭吗？
20809,UgymYDxrl-wKnRq_hUF4AaABAg,3,3 years ago,"this channel makes me want to live on a mountain village when i retire... seems so calming no internet, no wifi, possibly no signal at all, so guess no gadgets.. but that lamb (sheep? lamb? have no idea) is so fluffy and cute. the puppies..can't handle cute animals...",这个频道让我想在我退休时住在一个山村...似乎没有平静的互联网，没有wifi，可能根本没有信号，所以猜猜没有小工具..但是那只羔羊（绵羊？羔羊？不知道）是如此蓬松而可爱。小狗..不能处理可爱的动物...
37051,UgyEGa7S8OEs6vHDGF14AaABAg.8uKAG1ThWGP8v8wWSwXpsw,3,4 years ago,yvonne actually no๐these kind of life happen in many villages in china but she is young so she knows how to share these lifes to us online,伊冯（Yvonne）实际上没有这种生活在中国的许多村庄中发生的生活
5163,UgzjNVMnOPQFvuE1_rF4AaABAg,3,1 year ago,"i didn't know that chinese village 
life is so creative god bless you and good luck fore your future","我不知道那个中国村庄
生活是如此有创造力的上帝保佑你，祝你好运，在你的未来 -"
33591,Ugwi6MPmUUHVJiZrO-V4AaABAg.8vCZsi2p9r29-ALZGVL7np,3,3 years ago,"ms. liziqi is wonderful. lin jing invites you to sichuan cuisine to enjoy the natural scenery of the countryside. a small village in dazhou sichuan is fun and optimistic. proactive, easy going, bold and independent. i grew up in quxian county, sichuan province, known as the homeland of the han dynasty, the home of chinese bamboo art, the home of yellow flowers and the intangible cultural heritage of china.",利兹奇女士很棒。林吉（Lin Jing）邀请您去四川美食欣赏乡村的自然风光。 Dazhou Sichuan的一个小村庄很有趣和乐观。主动，随和，大胆而独立。我在四川省的Quxian县长大，被称为汉朝的家园，中国竹艺术的家园，黄花的家园和中国无形的文化遗产。
