,cid,votes,time,含village,含village中文翻译
21896,UgwcX9YQRp7-GIicFyh4AaABAg,3,3 years ago,"omg as soon as i start watching her videos i cant stop myself watching for more,makes me think how i miss my simple life in the village,,,girl you inspire me a lot,,one day gonna go back to the island where i was born,cant wait to go back home and cook like your videos,i learn a lot from your video,god bless you girl,",天哪，一旦我开始观看她的视频，我就不能停止自己观看更多，让我想到我如何想念我在村庄的简单生活，你会激发我的灵感很多，有一天会回到岛上出生了，迫不及待地想回家像你的视频一样做饭，我从你的视频中学到了很多东西，上帝保佑你的女孩，
22404,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-n6g97PvhD,3,3 years ago,after marriage i can stay in dhaka (the capital and the busiest city of bangladesh) or i can stay in my in- laws village.. i will prefer to live in the village. i think this is more peaceful,结婚后，我可以留在达卡（首都和最繁忙的孟加拉国），也可以留在我的法律村。.我更喜欢住在村庄里。我认为这是更宁静的
10661,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799ZWtlELJKQ,3,3 years ago,"@xe2893 ur right in some parts , n wrong in some parts also.
liziqi in her younger age actually had followed some trainings to become a chinese ninja
but later after her grandpa has passed away , she chose to go back to her village& grandma... rather than working as a ccps ninja
then after returning home, she started to make vids to sell/commercial her ""natural homemade"" products , to earn some money for living!
surprisingly , its her vids that actually only for commercial purposes, that turns out to be a big success & gives her much money n fame n sponsors 
thus her village has become a nature s friendly company☺️ many people get jealous to her ever since...","@xe2893您在某些地方正确，在某些部分也是错误的。
Liziqi年轻时实际上是经过一些培训，成为CCP的中国忍者...只要看看她的速度+力量，她的刀技巧+攀爬技巧
但是在爷爷去世后的后期，她选择回到她的村庄和祖母……而不是当CCPS忍者嗯，好吧...那对女人来说肯定是一件艰难的工作。她的祖母，她的最后一个家庭
然后回到家后，她开始制作vids出售/商业她的“天然自制”产品，以赚取一些生活！
令人惊讶的是，实际上仅出于商业目的，这是她的视频，事实证明这是一个很大的成功，并给了她很多钱。
因此，她的村庄已成为大自然的友好公司☺️从那以后，许多人嫉妒她..."
18809,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792TktQWaA7x,3,3 years ago,i mean has nobody wondered how this woman is uploading videos to youtube which is banned in china and uses professional film equipment in a village in the middle of nowhere? ffs,我的意思是，没有人想知道这个女人是如何将视频上传到YouTube的，该视频在中国被禁止并在无处的村庄使用专业电影设备？ FFS
10788,UgxAEMJFwgeqR7mkdwl4AaABAg,3,3 years ago,"as soon as i saw the bamboo shoots digging bamboo shoots, i thought of quannan village battle, and the string ~",一看到挖竹笋我就想到了全南村霸，串台了~
24811,Ugw7dOs31jHWm1KC_Cx4AaABAg,2,3 years ago,village dining but world class dishes. absolutely marvellous!,乡村用餐，但世界一流的菜肴。绝对奇妙！
10627,UgwWlViNwp3rdk9vrtR4AaABAg.98Y8lC__QNK99Uq2W4Iw01,2,3 years ago,"it's common for chinese village people to own a piece of mountain(maybe 3000㎡） and a field to plant rice( maybe 500㎡, my date is an estimation）",中国乡村人民拥有一座山（也许是3000°）和种植米饭的田地很常见（也许是500㎡，我的约会是一个估计）
26714,UgwlP4zvqpIJ16mJXQx4AaABAg,2,3 years ago,hi i'm from india i'm addicted to your video not only me my daughter too we love u r village and your hardwood i want to know your village name if i can one day i want meet you thank you so much for showing you traditional lifestyle,嗨，我来自印度，我沉迷于您的视频，不仅是我的女儿，我们也爱你村和你的硬木，我想知道你的村庄名称，如果我有一天我想见你，我非常感谢你向你展示传统生活方式
10673,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_3glC_4LY,2,3 years ago,"@mohammedharoon8453 im not a ccp... but im an overseas chinese...
thats why i know that it is vids about 5.000 years of chinese village culture... not about ccp
actually liziqi only needs ccp support for security guards
i feel very proud that chinese has the most advanced culinary& farming culture in the world
a peaceful culture , not a civilization/culture that based on guns bombs / robberies
ur just jealous. shame on u","@Mohammedharoon8453我不是CCP ...但是我是海外的中国人...
这就是为什么我知道这是中国乡村文化约5。000年的视频...与CCP
实际上，利兹奇（Liziqi）只需要CCP支持安全警卫
我为中国人拥有世界上最先进的烹饪和农业文化而感到自豪。
一种和平的文化，而不是基于枪支炸弹 /抢劫的文明 /文化
你只是嫉妒。对u"
10886,Ugx73LE_CE4ZPKonTOl4AaABAg,2,3 years ago,"i'm from north east india and my village looks like this place. also the food we eat is similar which is why most of the brown indian to be exact discriminate us as chinese. but after watching her, i'm proud that they call me chinese.",我来自印度东北部，我的村庄看起来像这个地方。同样，我们吃的食物也相似，这就是为什么大多数棕色印度人要确切地将我们歧视为中国人的原因。但是看着她后，我为他们称我为中国人感到自豪。
22766,UgzpI_qc5O0Z63HRIHJ4AaABAg,2,3 years ago,i'm happy living in a beautiful village,我很高兴住在一个美丽的村庄
10956,UgxaqZrK_ufRq6US4t94AaABAg,2,3 years ago,"ur village and my village look like same i live with tribe people in sylhet,bangladesh",我们的村庄和我的村庄看起来像一样，我与孟加拉国西尔赫特的部落人同住
11964,UgxoRNWzR8wgtC1YyFJ4AaABAg.975UPLpcw2P97q0El5pFhv,2,3 years ago,lol she bought it from other villagers who keep pigs.,大声笑她是从其他养猪的村民那里买的。
22712,UgzmFG20lTUSLtNrCKV4AaABAg,2,3 years ago,you really live in this village??,你真的住在这个村庄吗？
11406,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD9873WWGVR4_,2,3 years ago,@logicone5667 there are people who live in the village especially older people. it is her grandma and her house,@logicone5667有些人住在村庄，尤其是老年人。这是她的祖母和她的房子
9268,UgwEP7RdPcnqcIi10lh4AaABAg,2,2 years ago,"in my village, we called the mushroom is ""ear mushroom"" and that's very delicious.",在我的村庄里，我们称蘑菇为“耳蘑菇”，这很美味。
5772,Ugya9Pon61oQjonTOBh4AaABAg,2,2 years ago,"2020 anyone??? i canโ€t stop watching her video 
welcome to my village too..","2020有人？？？我不能停止观看她的视频
也欢迎来到我的村庄。"
3104,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9_SOyWV68B-,2,1 year ago,"@carlwheezer7792 i loveeee your idea. even i day dream and plan on something like this, i gt tears in my eyes when i see village, and i love such videos. you're so much like me. i would like to know more about your ideas. can we talk on instagram?",@carlwheezer7792我爱你的主意。即使我做的梦想并计划这样的事情，当我看到村庄时，我也会在眼中流泪，我喜欢这样的视频。你非常喜欢我。我想进一步了解您的想法。我们可以在Instagram上交谈吗？
18834,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792cIiWL4h2Y,2,3 years ago,"@oriolopocholo lol, vpn costs just for 10$ a month, but we don't use youtube too oft, we have big video portals inside china and liziqi has therer more followers. china has millions of video bloggers, you think we don't have proffesional fim equipment? the village of liziqi is not very far from city away, and yes we chinese are not living in caves, we have cars! i think you get too much western propaganda.",@oriolopocholo LOL，VPN的成本仅为每月10美元，但我们不太使用YouTube，我们在中国内有大型视频门户，Liziqi有更多的追随者。中国有数百万个视频博客作者，您认为我们没有专业的FIM设备吗？ Liziqi村离城市不远，是的，我们中国人没有住在洞穴中，我们有汽车！我认为您得到了太多西方宣传。
5374,UgyeI7mUk3QF36Z3eVl4AaABAg.9GaiOrrQuP09GlIiRVPntz,1,2 years ago,"in my village, alhamdulillah, there are still a lot of bamboo shoots",在我的村庄Alhamdulillah，仍然有很多竹嘴
2696,UgyyYChth_3diDSbnRh4AaABAg.9RpCLS3qrED9e6EqI3rVsb,1,10 months ago,no women will dress like her or live a life like her in village in china . this is just a commercial show,没有女人会像她一样打扮或在中国村里过上生活。这只是一个商业表演
19135,Ugw_tcL4dWI-XqQpJUd4AaABAg,1,3 years ago (edited),dream house village,梦之村村庄
12646,UgxpBrD1zfYf9xMBHjR4AaABAg,1,3 years ago,"hi, i am a chinese, see everyone in the comments to you in english speech, that i can not help but use english to speak to you oh, our family appreciate your attitude to the village life, i hope you can get better and better.❤️",嗨，我是中国人，在英语演讲中对您的评论中看到每个人，我忍不住用英语对你说话哦，我们的家人感谢您对乡村生活的态度，希望您能变得越来越好.❤️
24330,UgzWV8Kebc2ioChmuOt4AaABAg.8zOJKHJlxAC8z_As9Xu9Dj,1,3 years ago,"@reubenbetts7537 most villages in china raise pigs, chickens, and ducks etc",@reubenbetts7537中国大多数村庄饲养猪，鸡和鸭等
10140,Ugweeq4sZUJKwFKEVnZ4AaABAg,1,3 years ago,"my favorite food, in my village it's called rebung 'll eating a lot 
sorry for my bad english","我最喜欢的食物，在我的村庄里叫Rebung
对不起，我的英语不好"
10333,UgzSRnA7_urjUQ_vzzp4AaABAg.98qQ9IjkkeR9A4LdzjUDzQ,1,2 years ago,"https://youtu.be/p3r2vxpacti 
sri lankan village food ❤","https://youtu.be/p3r2vxpacti
斯里兰卡乡村食品❤"
10334,UgzSRnA7_urjUQ_vzzp4AaABAg.98qQ9IjkkeR9A4LebaqTvz,1,2 years ago,"@christinamagalona5704 https://youtu.be/p3r2vxpacti 
sri lankan village food ❤","@Christinamagalona5704 https://youtu.be/p3r2vxpacti
斯里兰卡乡村食品❤"
18835,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792cLlYMiapU,1,3 years ago,"@oriolopocholo you do know it's legal to use vpn to go on youtube and google in china, right? she is making videos about some of the beauty aspects of village life, she never claim that she done or make the videos on her own.",@oriolopocholo您知道使用VPN在中国使用YouTube和Google是合法的，对吗？她正在制作有关乡村生活中一些美容方面的视频，她从不声称自己做或自己制作视频。
10670,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799_1PmOu6qC,1,3 years ago,"@mohammedharoon8453 im a female ...yeah whatever... its vids about chinese 5000 years cultural village heritage... not about ccp culture! pls just try not to be hypocrite , mr. mohammad
bye2!","@Mohammedharoon8453我是一位女性...是的，无论如何...关于中国5000年文化村庄遗产的视频...与CCP文化无关！请尽量不要做伪君子，穆罕默德先生
bye2！"
1299,UgwxcNa9tqj4g_6lnn54AaABAg.9a2sviFs8Gc9a4opAf3xIp,1,1 year ago,"a small village in mianyang city, sichuan province, china",中国四川省山城的一个小村庄
10815,UgytUS_F61CAzMm7LeB4AaABAg,1,3 years ago,see this is the desire of the village flower linka,看到这是乡村花链接的渴望
1291,UgwxcNa9tqj4g_6lnn54AaABAg,1,1 year ago,please tell me where in china this place is. what is the name of this village?,请告诉我这个地方在哪里。这个村庄的名字是什么？
18179,UgwOstIFAW54bNTZSMh4AaABAg,1,3 years ago,"great, very beautiful your village.",太好了，非常美丽的村庄。
32856,UgzEPqZ1wpCNanQzsG14AaABAg,1,3 years ago,does she feed an entire village?! that's a lot of food,她会喂整个村庄吗？那是很多食物
10968,UgxaqZrK_ufRq6US4t94AaABAg.987V6nGk7HP98CJZjUsdOw,1,3 years ago,mine village is similar too i'm from tripura. we are neighbors,我的村庄也很像我来自Tripura。我们是邻居
33198,Ugz-qCF7c3CmBVEACkp4AaABAg,1,3 years ago,watching this video make me sad. i missing my past when i stayed in village. i did same thing like you. almost every vegetables i took from my own farm. now... i live in capital city. and everything need to buy. nothing is natural. good luck for you.,观看这段视频让我很难过。当我住在村庄时，我想念我的过去。我做的像你一样。我从自己的农场里拿走的几乎所有蔬菜。现在...我住在首都。一切都需要购买。没有什么是自然的。祝你好运。
16817,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI938ZVGa1Vtq,1,3 years ago,"@tehkettybear https://youtu.be/yxyvpzisczy
look at the difference between new village and old one, jealous bitch.","@tehkettybear https://youtu.be/yxyvpzisczy
看看新村庄和旧村庄之间的区别，嫉妒的bit子。"
17913,UgwunEBEht1UwcutFGt4AaABAg.92eJivXhhyf92nAzWdHPQG,1,3 years ago (edited),"akshar bahl or live in village that near with forest or beach, you end up ripping your arms and legs, that's the damn work i do everyday",阿克沙尔·巴尔（Akshar Bahl）或住在森林或海滩附近的村庄里，你最终撕开了胳膊和腿，那是我每天所做的该死的工作
34205,UgyKfDXRG9EzGvhT_0x4AaABAg,1,3 years ago,to know i get married i come to your village if you just want to be with you and the grandmother together you are incredible,要知道我结婚了，如果您只想和您在一起，我来到您的村庄
17711,Ugyq20sSrsHj5YXUi2l4AaABAg.92huIBS1Mwn92kNid0CORY,1,3 years ago,kyleinstraya 11 have you ever been to a mountain village?,Kyleinstraya 11您去过山村吗？
8547,Ugw_N_k_uvso7XdYLUN4AaABAg,1,2 years ago (edited),i listen that chinese eat insect and even dogs too but she have a dog as a pet so cute and the village is beautifullโค,我也听中国人也吃昆虫，甚至还有狗，但她有一只狗，就像宠物一样可爱，村庄很漂亮
2298,Ugze2gExmJf0rX62YRp4AaABAg,1,1 year ago,"it seems an easy life but it is not in spain in many villages and villages that you lived with firewood and ate the harvest as my grandparents told me, life was very difficult and lasts both women and men with 40 years seemed old to work and living from the field this are actors and it seems so beautiful and easy but the real life of the peasant is totally everything counter",这似乎是一种轻松的生活，但在许多村庄和村庄中都不是在西班牙，您住在柴火中，并在我的祖父母告诉我的那样，吃了收获，生活非常艰难，持续了40岁的男人和男人，似乎都在工作和生活。从田野里，这是演员，看起来如此美丽和容易，但是农民的现实生活完全是一切反击
12778,UgxuKpn6MeGJB2VchL14AaABAg.96M6U9v0MLP96pm2E2Yd2I,1,3 years ago (edited),"1000years back ？i am so sorry to know that we chinese havent made any progress in the way of cooking after a millennium while the crematories were invented decades ago ，a lot of villagers in china are still cooking this way ,okay?",1000年后回来？我很遗憾地知道，几十年前发明了火葬场的千年后，我们中国人还没有取得任何进展，中国的许多村民仍在这种方式做饭，好吗？
25837,UgwbQP7ThXf5Bt_4wuh4AaABAg,1,3 years ago,wow yummy and beautiful village please try indian dishes from india,哇，美味而美丽的村庄，请尝试印度的印度菜肴
14398,UgwWUbLefQRlorL5ded4AaABAg,1,3 years ago,"this is similar to my food that’s naga food
we all do the same in our village too
n our delicacy is smoked pork with bamboo shoot 
place : nagaland (india)","这与我的食物类似
我们都在我们的村庄也做同样的事情
我们的美味佳肴是烟熏猪肉
地点：纳加兰（印度）"
5542,UgxOjss5TAJvS5VCrwF4AaABAg,1,2 years ago,i love chaina village girl,我爱链田村的女孩
