,cid,votes,time,含garden,含garden中文翻译
11401,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97usPt5z3Qd,8,3 years ago,"logicone lol poor you. that’s not a movie set as you tried hard enough to claim. you research ability, if you have any, is poor enough as a hater. check that house from her old videos. that dream garden is made from scratch. it was not beautiful at first. it’s her grandparents’ house. check more info online, if you know how, then you should know she moved back there to take care of her sick grandmother and started to make the house different. if you did even more research, you would know there have been already people checking her life and the house by using the drone and monitors in that small village, disturbing her grandmother’s and her peaceful life, just like stalkers, which almost made her try to move to other places if it were not rejected by her granny since that’s where she has lived for tens of years. if you did know what a “research” is, you should also know there is an interview from sina news, which gives people an quick tour of how her dream garden looks like. 

and you claimed you did research... lol","逻辑大声笑可怜你。这不是一部电影，因为您努力地索要声称。您的研究能力（如果有的话）作为仇恨者足够贫穷。从她的旧视频中检查房子。那个梦想花园是从头开始的。起初它并不漂亮。这是她祖父母的房子。在线检查更多信息，如果您知道如何，那么您应该知道她搬回那里照顾自己的祖母，并开始使房子与众不同。如果您做了更多的研究，您会知道有人在那个小村庄里使用无人机和监视器来检查她的生活和房屋，这使她的祖母和和平的生活都像缠扰者一样，这几乎使她试图尝试如果她没有被她的奶奶拒绝，那就搬到其他地方，因为那是她已经生活了数十年的地方。如果您确实知道“研究”是什么，那么您还应该知道，新闻新闻的采访，这使人们可以快速参观她的梦想花园的样子。

你声称自己做了研究...大声笑"
31851,UgwcNqMFyyFbcw-g-Eh4AaABAg.8yV3PBvFl628yVEzTQ45kb,8,3 years ago,"glorify god, he is ""i am,"" ""yehovah,"" .. he made all things for us to marvel at his majesty in the design of nature around us.
her homeland in china is breathtaking.

i want to go visit her to tell her about jesus..

i think most people want to go visit her to see her amazing home, gardens, and eat her food..

i am sick too..

so sorry to hear you are sick and in the hospital. i will pray for god's will in your life..and that you would trust him now, turn to him..

god the father, made a way through his son, jesus..for us to be saved and to live right before him. faith in jesus's death on the cross, burial, and ressurrection from the dead, is what saves us..we have newness of life forever..as our sins are forgiven us. 

there is no other way to be saved from god's judgement and wrath to come. 

jesus, is our only hope, our shield, our rock to stand on, our salvation!

her videos are amazing to watch and she is a very beautiful, talented, and very hard-working, disiplined person..but she does not have any knowledge of the god of abraham, issac, and jacob, and his only begotten son, jesus of nazareth, the kings of kings...the lamb of god.","荣耀上帝，他是“我是”，“耶和华”。
她在中国的家园令人叹为观止。

我想去拜访她告诉她关于耶稣的事。

我认为大多数人都想去拜访她，看看她的奇妙家园，花园和吃她的食物。

我也病了..

很遗憾听到您生病了。我将为您一生中的上帝的旨意祈祷..您现在会相信他，转向他。

父神，通过他的儿子耶稣。对耶稣的死在十字架上的信仰，埋葬和从死里的遗嘱中拯救我们。

没有其他方法可以从上帝的审判和愤怒中拯救出来。

耶稣是我们唯一的希望，我们的盾牌，我们的岩石站在我们的救赎！

她的视频令人惊叹，她是一个非常美丽，才华横溢且非常努力，有教养的人..但是她对亚伯拉罕，伊萨克和雅各布的上帝不了解，他的独一儿子，耶稣，拿撒勒人，国王之王...上帝的羔羊。"
12244,UgyoVkSpjiCgORXsKx14AaABAg,8,3 years ago,"just to hear the music, the sounds of nature and you pitter patter around your gardens and kitchen :)",只是为了听音乐，大自然的声音和您的花园和厨房周围的刺激性:)
2421,UgwTlwgt4ffjSJlO7jV4AaABAg,7,1 year ago (edited),"she has a cool garden :)
and everything looks so appetizing, it is time for her to open a restaurant.","她有一个凉爽的花园:)
一切看起来都很开胃，是时候让她开一家餐厅了。"
7250,UgzBKTUW3R1K2uuUIEJ4AaABAg,7,2 years ago,i like that she makes everything from her garden which is fresh,我喜欢她从花园里制作的一切都是新鲜的
7775,UgxVc_iZpXIzyoTiQ2R4AaABAg,6,2 years ago,she has everything in her garden.she is also very beautiful and good cooker.i want a nice garden like her.,她的花园里有一切。她也很漂亮且很好的炊具。我想要一个像她一样的花园。
33185,UgxIZ6pHZ81fuMf3VJV4AaABAg,6,3 years ago,"oh,her garden i can't even thought of that coz i'm",哦，她的花园，我什至不想念那个我很棒的工作。谁同意？
15005,UgxFFBrLdVYC9wsCj3J4AaABAg,6,3 years ago,it's like she lives in the garden of eden and can just go out and find food on the ground and eat whatever,就像她住在伊甸园里，可以出去在地上找到食物，吃东西
19954,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq92-qn-394XN,6,3 years ago,@ashoretoo im sorry i think what she is doing is awesome i do have questions of how she makes money because growing up with a garden there is alot of time involved and cooking like she is and rounding up her ingredients and let's not forget how much time filming and making a video takes so i have much respect for her and i would not be suprised if shes working 15+hrs a day plus taken care of granny much respect to her i dont understand stand why anyone would dislike this content unless its a hate monger,@Ashoretoo我对不起，我想她在做什么很棒，我确实有疑问她如何赚钱，因为在花园里长大的时间涉及很多时间，像她一样烹饪并弄清楚自己的食材，让我们不要忘记多少时间拍摄和制作视频需要花费很大的尊重，如果她每天工作15+hrs加上奶奶的照顾，我不明白，我不会感到惊讶，除非有人会不喜欢这个内容贩子
27824,Ugwh6h_v-OXwQyX-BmN4AaABAg,6,3 years ago,liziqi reminds me so much of my childhood...we had a garden near our home and we used to pick fresh veggies every morning and evening with my grandma. i miss those days.,利兹奇（Liziqi）让我想起了我童年时代的大部分时间...我们家附近有一个花园，我们曾经每天早晨和傍晚和祖母一起挑选新鲜的蔬菜。我怀念那些日子。
26598,UgzY3ZM3mGlIYKP1FSN4AaABAg,5,3 years ago,iam glad see this video. need stay in there... a lots foods in garden...,我很高兴看到这段视频。需要呆在那里...花园里很多食物...
21133,UgwGx794HdSmWwmIlKR4AaABAg,5,3 years ago (edited),"i've picked those mushrooms in my woods and grow those beans in my garden before, but that's where my experience with this ends i love bamboo shoots and i know where a stand of giant bamboo grows near an old burned down house. maybe i should try some. it's amazing to think of how much food they get out of those few shoots and that cutting them back makes the plant grow better.",我以前在树林里挑选了那些蘑菇，然后在我的花园里种了那些豆子，但这就是我对此的经历，我喜欢竹芽，我知道在一个旧的烧毁房屋附近生长了巨大的竹子。也许我应该尝试一些。想到他们从那些芽中获得多少食物并将其削减的食物使植物生长更好，这真是令人惊讶。
11251,UgzUcXe_bhs0WP3mNO54AaABAg,5,3 years ago,i wish i could live in a house like that beautiful place and have my own garden,我希望我可以住在像美丽的地方一样的房子里，并拥有自己的花园。
24998,Ugxh4an9n8vh-FXv-e94AaABAg,4,3 years ago (edited),it's so amazing. these foods were also found in our small garden before. i really miss this simple life,太神奇了。这些食物也在我们的小花园中发现。我真的很想念这个简单的生活
10369,UgxuCYQyr_mwUwH8suR4AaABAg,4,3 years ago,she goes to the garden and finds every single ingredients she wants.. and i even forget my bag in the market.,她去花园，找到了她想要的每种成分。.我什至忘了市场上的书包。
918,UgxgwgiMogfX_IdiwDx4AaABAg,4,11 months ago,her house are full of foods. wow. i hope i can transform my garden like this when go home.,她的房子里到处都是食物。哇。我希望回家时能像这样改变我的花园。
21621,UgylmQIdpiszMj7X7Q54AaABAg,4,3 years ago,your garden has everything you need! that is a blessing from god!,您的花园有您需要的一切！那是上帝的祝福！
15498,UgxpSmJXGUdxsrqLpTx4AaABAg,3,3 years ago,"it is very calming and relaxing to watch. i like how she preserved traditional craftsmanship and many more. but it is impossible to live like this. you will need to hire a team of gardener, makeup artist, chef, and housekeeper...",观看这是非常平静和放松的。我喜欢她保留传统工艺的方式等等。但是不可能这样生活。您需要雇用一支由园丁，化妆师，厨师和管家组成的团队...
3088,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9S1D6jvsK7s,3,1 year ago,@seleniumsel hai sorry for the late reply. there are alof of types of bamboos. some can be eaten (bamboo shoots) and some are just for fengshui or garden decorations. my knowledge is quite limited to knowing their types.,@Seleniumsel hai对不起，回复了。有很多类型的竹子。有些可以吃掉（竹芽），有些只是用于风水或花园装饰。我的知识非常限于了解他们的类型。
32056,UgxdEhj-cZs-wEm9c4x4AaABAg.8yV0EYhRV0B8yVQoDxeVLg,3,3 years ago,"claire zhang she used to film by herself but now she has a crew. she comes from a richer family, as you can see by the size and beauty of the farm & garden. they surely have enough money to hire a camera crew.",克莱尔·张（Claire Zhang）她曾经自己拍摄，但现在有一名船员。她来自一个富裕的家庭，您可以看到农场和花园的大小和美丽。他们肯定有足够的钱来雇用摄像机。
19783,UgxHccAR5UTCEpXb47V4AaABAg,3,3 years ago,angel in paradise. this is the eden garden,天使在天堂。这是伊甸园
5154,UgzYpAJRj0Av_tUjfAR4AaABAg,3,2 years ago,she goes to the garden and finds every๐๐โค๐’โค,她去花园，发现每一个
9049,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9BNoJdgVRd_,2,2 years ago,"if i told you i only have a few flowers to help with pest control and attract pollinators, would you be surprised? (many of the flowers i grow are also edible) my garden is full of many vegetables, herbs and fruit. i also trade cuttings and clippings with people so they may grow plants as well... i am american. many of my friends in canada are also self sufficient gardeners.",如果我告诉您我只有几朵花可以帮助控制害虫并吸引传粉媒介，您会感到惊讶吗？ （我种的许多花也可以食用）我的花园里到处都是许多蔬菜，草药和水果。我还与人交易剪裁和剪报，以便他们也可以种植植物...我是美国人。我在加拿大的许多朋友也是自给自足的园丁。
13348,Ugw8gdFsezQkr7uOlUx4AaABAg,2,3 years ago,"this is beautiful, the simple things, away from city life, pollution, sickness, crime and everything else in between. this is much better.
william percival new zealand gardenia band","这是美丽的，简单的事物，远离城市生活，污染，疾病，犯罪以及介于两者之间的其他一切。这要好得多。
William Percival新西兰Gardenia乐队"
27547,UgzAZjJKw_o8AI7YzX94AaABAg.8ydt4Y210zF8yqYaQoVvKL,2,3 years ago (edited),"@melissabrownapt215 your thinking of what they show, which is crowded cities.. but most of china is rural

while ive never seen one myself, i know part of its that its a generational homestead, she mentions learning from her grandparents, her grandmother is in the videos, she says her grandmother planted the gardens 

i think she went to the city 
and returned to the country because it is better","@melissabrownapt215您对自己所展示的东西的思考，哪个是拥挤的城市..但大多数中国是乡村

虽然我从未见过自己，但我知道这是一个世代相传的宅基地，她提到了祖父母学习，祖母在视频中，她说她的祖母种了花园

我认为她去了这座城市
并返回国家，因为它更好"
29268,Ugz1eBU-9y3MvqPMc_N4AaABAg,2,3 years ago,who else dreamed to have garden like hers?,还有谁梦想着拥有像她一样的花园？
27013,UgyJKoqLhmxxXRuA0W14AaABAg,2,3 years ago (edited),"it's good to see the chinese way of life the old traditions of cooking and that super large garden called the jungle the scenery is breathtaking nearly as much as liziqi i have never seen such a beautiful , stunning , radiant and graceful looking woman as her even in her wellington boots when she walks through the jungle. she is china's snow white and i do not mean to offend you if you've seen the cartoon movie you know what i mean i love watching your videos it shows a life alot different to mine the film footage is clear and sharp to the eye.",很高兴看到中国的生活方式烹饪的古老传统以及那个被称为丛林的超级大花园，风景的刺耳景色几乎和liziqi一样令人叹为观止，我从未见过一个如此美丽，迷人，令人惊叹，辐射和优雅的女人，甚至像她一样当她穿过丛林时，她的惠灵顿靴子。她是中国的白雪公主，如果您看过卡通电影，我并不是要冒犯你，你知道我的意思是我喜欢看你的视频，它显示出与摄影镜头不同的生活，这对眼睛清晰而敏锐。
16342,UgzF35ISRZZjEFD05Bt4AaABAg,2,3 years ago,her garden is better than supermarket near my house,她的花园比我家附近的超市更好
31356,Ugw7MNb27zetpcWvmxp4AaABAg,2,3 years ago,i really like your garden!,我真的很喜欢你的花园！
16556,UgwntRlzQaXcKUNhnqh4AaABAg,2,3 years ago (edited),this is some garden of eden shit! feels so nice.,这是伊甸园的一些花园！感觉很好。
21999,Ugx1S3F_HcEVF0Xfeox4AaABAg.9-JqhM84H-m904JxwyNd_F,2,3 years ago,"her grandmother planted the wonderful garden years ago on a family farm. such a wonderful gift that the children have kept the love for it. they are wealthy enough to abandon that life, but so much would be lost, no?",几年前，她的祖母在一个家庭农场种植了美妙的花园。如此奇妙的礼物，孩子们对此保持了热爱。他们足够富有，可以放弃那种生命，但会丢失很多东西，不是吗？
18577,Ugx8xQ-FAK4MdYEIaZF4AaABAg,2,3 years ago,her garden contains everthing in the world ヾ (● ´∇ ｀ ●) ﾉ ~,她的花园里有世界各地的东西ヾ
19586,UgwKjZWkmDE3g0QAVod4AaABAg,2,3 years ago,wish i could live like that it looks so peaceful and relaxing and that beautiful garden and land so much support for her and her mom,希望我能像这样生活，看起来如此宁静和放松，美丽的花园和土地为她和她的妈妈提供了很多支持
5569,Ugwn0rnSbCcxWnXExrt4AaABAg.9GAg2A51KSz9HINLDZqNoK,2,2 years ago,its not her garden๏ผits a mountain,它不是她的花园，它是一座山
20349,UgwxJeF5iyf1Rgwl8WJ4AaABAg.90ye7n6aTzY910wWt_ZyPy,2,3 years ago,"some veggies and fruit are from neighbors' garden. in the country, people share their harvest to each others to get ingredients which their don't plant.",一些蔬菜和水果来自邻居的花园。在该国，人们与彼此分享收获，以获取不种植的食材。
33482,Ugxi62w6Jt8MlO_OpJl4AaABAg.8yUau3LzW8Y8yUuqh0eC_M,2,3 years ago,"yeah, her life is very simple and that i want that kind of life,and her garden",是的，她的生活很简单，我想要这种生活，她的花园
12171,UgycBYapKu7TH6vb3Ed4AaABAg.96zCrvM37vj976FNfotf5u,2,3 years ago,حقائق معرفه yes i have small garden but i want a huge one like lizqi,是的，我有小花园，但我想要一个像lizqi这样的巨大花园
12183,UgycBYapKu7TH6vb3Ed4AaABAg.96zCrvM37vj9818elzLyof,1,3 years ago,me too! but i don’t think i’m able to handle all the works by myself to maintain my garden like what ziqi is doing.,我也是！但是我认为我无法像Ziqi所做的那样自己处理所有作品，以维护我的花园。
11594,UgyjSX8yXDU2vwbyN714AaABAg,1,3 years ago,what miraculous garden wants to go to the garden,奇迹般的花园想去花园
26349,UgyH1cVx3GC5Do489rR4AaABAg.8yrFbc8y1bE8yzPkZFJRp6,1,3 years ago,mine too i remember one of the video's on this channel showed a section of her garden with the puppies following her it was nice.,我也记得我也记得这个频道上的一个视频显示了她花园里的一部分，跟着她的小狗很好。
13900,UgzA2UIUAQHwVT3mgGl4AaABAg,1,3 years ago,what kind of paradise has all those food available ?? where is she living ? is it nature or her garden ?,所有这些食物都有什么样的天堂？她住在哪里？是自然还是她的花园？
27481,Ugy5blWiFhfAWUSgdbV4AaABAg.8yeGM7FHXG58ygdrtVTgSD,1,3 years ago (edited),"in china, most garden are used to grow vegetables because it is fulfilling to eat your own vegetables",在中国，大多数花园都用来种植蔬菜，因为它可以吃自己的蔬菜
14624,UgynuRCNtRvb5cOeW5V4AaABAg,1,3 years ago,"these videos had taken me to a whole new level of a long lost world that i'm longing to live in and experience its peacefulness...the beautiful scenery, the sounds of insects and birds chirping away and running water and seeing you li ziqi gathering food from the garden and in the wild makes me wonder what have we been living in...stressing ourselves 's chinese new year",这些视频使我进入了一个渴望生活并体验和平的漫长世界的全新水平...美丽的风景，昆虫和鸟儿的声音在吹口水，流水，看到你李Ziqi从花园里收集食物和野外，让我想知道我们一直在生活...强调自己
26838,Ugzb_UMeI7qVgt3T0i14AaABAg,1,3 years ago (edited),your video is so relaxing to watch. it also brings me back the days when i was a kid. we love growing our own food where we can just pick veggies right at our own garden. oh how i love the life back then..,您的视频非常放松。这也使我回到了我小时候的日子。我们喜欢种自己的食物，我们可以在自己的花园里挑选蔬菜。哦，那时我多么爱生活。
15753,UgyjLMSPU6TfyGdJSJl4AaABAg,1,3 years ago,"woahhh... the plant she is harvesting and cooking with the bean is called in french ""pourpier potager"" or "" purslane vegetable"" descriped as an ""invasive species"" for the occidental gardeners. but actually, it's a really good plant to eat for the taste and the fact that she contains lot of vitamin a, c and omega-3. check more about it ...https://www.nutrition-and-you.com/purslane.html",哇...她正在收获和用豆子烹饪的植物中，用法国“ popier potager”或“ cur菜蔬菜”作为西方园丁描述为“入侵物种”。但是实际上，这是一种非常好的植物，可以吃的味道，而且她含有大量的维生素A，C和Omega-3。查看有关它的更多信息... https：//www.nutrition-and-you.com/purslane.html
16145,UgwQmwt3bLXwye3i6Xp4AaABAg.92zkaLDVV4u93CNHwTce3q,1,3 years ago,"i agree, with farms like liziqi the kids will learn a lot of lessons, i also want to visit her garden.",我同意，与Liziqi这样的农场，孩子们会学到很多课，我也想参观她的花园。
