,cid,votes,含Chinese,含Chinese中文翻译
11914,UgxOPdfkgxROJLP3RcJ4AaABAg,103,"In order to write the college entrance examination composition to watch my sister's video ... I really envy my sister's life like this. After reading it, I was so moved. I was very happy to see foreign netizens' messages! Intersection Thank you sister for the help of spreading Chinese culture, and thank you for your dreams for so many people. This may be your dream ~ I'm happy for you. Thanks a lot! Intersection",为了写高考作文来看姐姐的视频……真的好羡慕姐姐这样的生活啊TAT看了之后好感动，看到外国网友的留言也很开心！！谢谢姐姐为传播中国文化助力，谢谢姐姐替那么多人活出了大家梦想中的样子。这也许是你的梦想吧~为你感到高兴。辛苦你了！！
12006,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s97a57nW7Avu,99,"Better not, modern show doesn't suit this Chinese style",更好的不是，现代表演不适合这种中国风格
19034,UgyhSJHbnccPmF2NewB4AaABAg,95,"As a Chinese, i must tell you all that the river snail rice noodle is smelly(because the sour bamboo shoot is smelly) but taste really good.",作为中国人，我必须告诉你所有的蜗牛米面条臭（因为酸竹芽臭），但味道真的很好。
18752,UgwXLyqJiScjXUxRJYl4AaABAg,90,"I’m so proud that she comes from my hometown Sichuan,Chinese old saying: The Beauties Shall Come from Sichuan. She is the goddess in my heart.",我为她来自我的家乡四川而感到自豪，中国的老话：美女将来自四川。她是我心中的女神。
32893,Ugz3FH_-93t-gEqVUdx4AaABAg,87,"Li Ziyi ~ always gives people a total fresh and refined, traditional Chinese women's beauty. The image that can be great !!
Please continue to cheer !! Do more and more high -quality and simple Chinese style videos to educate more people ~ Thank you for your efforts !!","李子柒~总是给人总清新脱俗，传统中国女性的美。能干了不起的形象!! 
请李小姐继续加油!! 做更多更多优质纯朴的中国风视频，来教育更多人~ 感谢有妳的付出!!"
4410,UgwQijjQivUk2JOaWwd4AaABAg,83,"The natural scenery & traditional Chinese music, relaxing.",自然风光和传统音乐，放松。
30711,UgyLzQxSX-Xr9lsYQYB4AaABAg,83,I love the Chinese culture of living and I want to live in quiet places like this ☺️,我喜欢中国的生活文化，我想住在这样的安静的地方☺️
4766,Ugz-9AfuXVyzFJJ4yi54AaABAg,78,"Me：I think there is no doubt that it's Chinese food.
South Koreans:","我：我认为毫无疑问是中国菜。
韩国人："
11553,UgwOKaIWeB3nIXK7cUJ4AaABAg.97SYDnx5UUw97v3ZT0OXyN,71,"riya guria After June, 2017, she hired the cameraman and a young assistant. Before that, she was a one girl team and did exactly what you said to finish the shooting tasks. Almost impossible while she made it with her incredible persistence. As for the proof, she showed all the raw materials on Chinese webo, a Chinese social media platform. One perfect scene may just come from tens of reshoots, especially when she did it alone at the time. And those early elaborate masterworks make her videos go viral.",Riya Guria在2017年6月之后，聘请了摄影师和年轻助手。在此之前，她是一个女团队，并按照您所说的完成射击任务。当她以她令人难以置信的毅力做到这一点时，几乎是不可能的。至于证明，她在中国社交媒体平台中国韦伯（Webo）上展示了所有原材料。一个完美的场景可能来自数十个重新拍摄，尤其是当她当时独自做的时候。那些早期精心制作的杰作使她的视频传播开来。
18377,UgwdzQh2Ul3-G5iLe_F4AaABAg,60,"It's really a beautiful life! Not to mention foreigners, I am envious of my Chinese people seeing ~ Come on, Zi Yan",真真是意想中的美好生活!别说外国人了，我一个中国人都看的心生羡慕~ 加油，子柒
30221,UgxlD7F4LIADR8nw3Xx4AaABAg.8yVezNp8yw38yk7WhXnfYj,60,"Golden Melon Grandma was taking care of her when she was young. What she is doing is the gratitude for the love and care received from childhood. This is a part of Chinese culture, and it's beautiful.",金瓜奶奶小时候照顾她。她正在做的是对从小就得到的爱与关怀的感谢。这是中国文化的一部分，它很美。
4114,Ugye0kSYeLdQW_-j1_54AaABAg,45,"I love your videos! They are so peaceful and the epitome of what I want someday for my life. I always come back to this one and the year of the pig Chinese New Year! They are two of my favorites (though the newest New Years video was amazing!). Much love from Florida, USA",我爱你的视频！他们是如此的和平，是我一生中想要的东西的缩影。我总是回到这个新年猪新年的那一年！它们是我的两个最爱（尽管最新的新年视频很棒！）。来自美国佛罗里达州的很多爱
17443,UgyxjCNw7PcHy00mFTh4AaABAg,45,Now that is real Chinese food not the fake stuff i just ordered.,现在，这是真正的中国食品，而不是我刚刚订购的假物品。
34079,UgzFgc3qAoLq8bC9utV4AaABAg,38,"The first Chinese comment is me. Ziyi, you are the tranquil corner in my heart. I hope you can go well, peace and joy.",第一条中文评论是我。子柒，你是我心中的那份恬静的角落。 希望你能事事顺心，平安喜乐。
18126,UgwFFHbGBnpCqZxUaYx4AaABAg,37,在 国外 的 孩子 看 水 ， ， ，哭辽！！ 吃 想 想 吃！ 超级 ！！ ！！ ！！ I miss Chinese food I miss China very much.,在在的孩子，，，，，，，，我想念中国菜，我想念中国食品我非常想念中国。
19941,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91Xmied6iFl,33,"Hi w. w., I saw a clip posted by (very likely) American white males denouncing Chinese enterprises that presented food products as clean and healthy but actually filthy and dangerous to health. When some viewers see Miss Li's clips, they may over-generalize / stereotype and guess Miss Li is faking everything. Many dislikes are definitely from rival camps, many of which are in China.",嗨W。 w。，我看到（很可能）美国白人男性发布了一个剪辑，谴责中国企业，这些企业将食品表现为清洁，健康但实际上对健康的危险。当一些观众看到李小姐的剪辑时，他们可能会过分刻板 /刻板印象，并且猜猜李小姐正在伪造一切。许多不喜欢的人肯定来自竞争对手营地，其中许多是在中国。
26257,UgzA1Q8HkCOrZHYuKeF4AaABAg,33,Wow Chinese food is so great. Will surely visit the middle kingdom on day. Love from India!,哇，中国菜真棒。一定会在当天参观中间王国。来自印度的爱！
3704,Ugw32GE2AijQGiO_GQl4AaABAg,30,"Luosifen！! As a Chinese living abroad, sometimes I want to eat a bowl of Luosifen. I love the Liziqi video.She advertised China to the world on video. Thank her. Look forward to her other videos.",luosifen！！作为一个居住在国外的中国人，有时我想吃一碗luosifen。我喜欢Liziqi视频。她在视频中向世界宣传了中国。谢谢她。期待她的其他视频。
21903,Ugx6FWM-T9bAlv9WLVR4AaABAg,29,"I am from Vietnam, i very like Chinese culture",我来自越南，我非常喜欢中国文化
18599,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92WOHaUMQBH,29,"Pedro c Mao may be like the Devil Satan in the West, but people in China don't judge him that way. It feels ridiculous to say that Mao will tear up Chinese culture. I hope that if you have the chance, you can learn more about Mao from the Chinese population.",佩德罗·毛（Pedro C Mao）可能就像西方的魔鬼撒旦（Satan），但中国的人们不会那样判断他。说毛泽东会撕毁中国文化真是太荒谬了。我希望，如果您有机会，您可以从中国人口中了解更多有关毛泽东的信息。
12015,UgwDZ1mRHX4myouBujF4AaABAg.9744unMbb-s986q6hjVcZ9,29,"@mahie56 I don't think she is an actress, these scenes, is her real life and also the real life of most Chinese people who live at rural area.",@mahie56我不认为她是女演员，这些场景是她的现实生活，也是大多数居住在农村地区的中国人的现实生活。
29570,Ugwozk571R6pngLuXUp4AaABAg,26,YouTube was pushed and found that I watched a lot of videos in one breath. The shooting is so beautiful. Thank you for spreading the traditional Chinese culture.,YouTube推送发现的，一口气看了好多视频，拍的真美，谢谢你传播中华传统文化。
7174,UgyKvog_WwPdF2uOBkl4AaABAg,25,"Wow. Chinese have a great traditional food clothes house and life style.One day i hope i will able to visit this country as a tourist. 
From bangladesh ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ๐ง๐ฉ","哇。中国人有一个很棒的传统美食屋和生活方式。我希望我能够作为游客访问这个国家。
来自孟加拉国"
15376,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss93x2t2Mmqdw,22,The thought has passed my mind that these films are Chinese Communist Party financed & assisted. Similar in concept to Mao's cultural revolution.,我想到的是，这些电影是中国共产党资助和协助的。概念与毛泽东的文化大革命相似。
32943,UgwETcl2LrMnGTF93Pp4AaABAg,22,"Jet Li
Jackie Chan
Liziqi
Chinese people that I know","李连杰
杰基·陈
liziqi
我认识的中国人"
4469,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9KJ3ePVPvL1,19,When has any korean person ever said that? Aren’t Chinese people the ones who say they own everything?,任何韩国人什么时候曾经说过？中国人不是说自己拥有一切的人吗？
31929,Ugz5SQzSVIB9U4-q1np4AaABAg.8yV2HUWJ-2e8yVRlrub8n6,19,One person carries the burden of Chinese culture output,一个人扛起了中华文化输出的重担
18391,UgxnP5R0-pAl19bP4_p4AaABAg,18,"If you marry a wife, you will be in Li Ziyi
Qingya costume Li Ziyi
Mind and clever Li Ziyi
Chinese output Li Ziyi
Huaxia Culture Li Ziyi
There are many children Li Ziyi
境 境 心","娶妻就要李子柒
清雅古装李子柒
心灵手巧李子柒
中华输出李子柒
华夏文化李子柒
子女多才李子柒
柒来心境李子柒"
28569,UgxCpRiDGzrwuzVOfl94AaABAg.8yY6-41Td1g8ztHAy0SMnF,18,"@franzpeters3824 what's wrong with you? She's a Chinese, she doesn't need to know how to speak English properly",@franzpeters3824你怎么了？她是中国人，她不需要知道如何正确说英语
26967,UgwITGMJzwNv1VoBUpV4AaABAg,17,I am Chinese，I really love your videos.I hope that one day I can go home where my motherland.,我是中国人，我真的很喜欢你的视频。我希望有一天我能回家祖国。
22403,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-lhOpwUxK4,17,"@cyouchin5381 NOPE, as a Chinese actually we hold cellphone whole day and busy in city life, that's why we love this lady so much either...She really doing what we enjoyed. In the deep mind of Chinese , everyone is a farmer. We want to plant something but we have no time/skill.",@cyouchin5381 nope，作为一个中国人实际上，我们整天都拿着手机，在城市生活中忙碌，这就是为什么我们如此爱这位女士……她真的在做我们喜欢的事情。在中国人的深处，每个人都是农民。我们想种植东西，但我们没有时间/技能。
18275,Ugz0HSm7t2DGvsE_jfR4AaABAg.92XiLDl10e_92hFkMrhjkU,16,So shocked that there is even more foreigners than Chinese in the reviews,如此震惊，以至于外国人在评论中比中国人更多
21567,UgwQXJkyej7bOmoRFFJ4AaABAg,15,I'm an ESL teacher and my Chinese student brought me here. And she's right! You're good and your videos are oddly satisfying to watch.,我是ESL老师，我的中国学生把我带到这里。她是对的！您很好，您的视频很奇怪地观看。
9157,Ugzles7utrIYwnyB4RN4AaABAg,15,"I now understand why Sichuan (where Liziqi lives) is also called ""Heaven (ๅคฉๅบ tianfu)"" in Chinese.",我现在明白了为什么四川（Liziqi居住的地方）也被称为“天堂（天府田富）”。
31487,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yW4Y3KgyUo,14,"She has 16 million Chinese followers on Weibo. Although Youtube is blocked in China, some who actively want to use it still bypass it through use of VPN. Some of the views here are by Chinese either through VPN or just because they are overseas, but I do think the vast majority are international fans. It happened about 9 months ago when the comment section under her videos changed from purely Chinese to all sorts of languages. I think one of her vids went viral outside of China and then people flocked to her channel here on Youtube to check her out. This channel is operated and maintained by one of her fans under her permission, but her base channel is on Weibo.",她在微博上有1600万中国追随者。尽管YouTube在中国被阻塞，但有些积极希望使用它仍然通过使用VPN绕过它的人仍在绕过它。这里的某些观点是通过VPN通过中国人，或仅仅是因为它们在海外，但我确实认为绝大多数是国际粉丝。大约9个月前，她的视频下的评论部分从纯粹的中文变为各种语言。我认为她的一位视频在中国以外传播开来，然后人们在YouTube上涌向她的频道检查她。该频道在她的允许下由她的一位粉丝操作和维护，但她的基本频道在微博上。
30625,UgyQAUUTLKxFmVf_xUt4AaABAg,14,"Because I want to be Chinese, the Japanese are just to make these foods


Because I want to be a Chinese, the Japanese can make these foods","因为我想成为中国人，日本人就是为了制作这些食物


因为我想成为中国人，所以日本人能够制作这些食物"
2671,UgwgpdSgJwZnb7u5qU54AaABAg,13,"Liziqi is a soothing content creator who wants to share traditional Chinese culture. She does most of the work herself in her videos with some help from friends, relatives and neighbors, but she does the final editing of the videos.",利兹奇（Liziqi）是一个舒缓的内容创造者，想分享中国传统文化。她在朋友，亲戚和邻居的一些帮助下自己完成了大部分工作，但她对视频进行了最终编辑。
18603,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92_IhXI_D3-,13,Pedro c yes it is a lie. Mao is totally a great leader in many sense from Chinese perspective. He built a new regime where China enjoys real freedom post hundreds years of being slaves by foreigners. He had ego and made big mistakes but his contribution outweighs his mistakes. Hence people in China still respect and thank him for what he did. Western media demonizes him I believe is because he represents communism while ignoring what he did to China and Chinese people. It's a totally subjective and political view. I hate they teach that in classroom to brainwash my kids.,Pedro C是的，这是一个谎言。从中国的角度来看，毛面完全是一位伟大的领导者。他建立了一个新的政权，中国在数百年之后成为外国人的奴隶。他有自我，犯了很大的错误，但他的贡献大于他的错误。因此，在中国的人们仍然尊重，并感谢他的所作所为。我认为西方媒体妖魔化了他，因为他代表共产主义，而无视他对中国和中国人民的所作所为。这是一种完全主观和政治观点。我讨厌他们在教室里教我的孩子。
4268,UgzxygmS5oFjQh8MBqZ4AaABAg,13,Luosifen is life it’s so good. I keep buying the instant luosifen packs ever since I first tried it. I wish I can actually go to a authentic Chinese luosifen restaurant and try the fresh made ones,Luosifen是生活，真是太好了。自从我第一次尝试以来，我一直在购买即时Luosifen包。我希望我实际上可以去地道的中国luosifen餐厅，然后尝试新鲜的餐厅
18994,UgxHTezytDFycGVFefd4AaABAg,13,"What has been lived is the life of the ancient Chinese people over the past millennium, is it contemporary Tao Yuanming?","过的简直是千年来中国古人的生活,当代陶渊明吗"
21877,UgyiXGV8dmv6igb5Yxd4AaABAg.9-RuqJI02nf9-W0HRg-sXx,12,"Isabelle Jiang the reason why the subtitles exist is in China two girls was trying to replicate a meal made by a Chinese YouTuber Xiaoye, and it caused an accidence, their parents sued Xiaoye.",Isabelle Jiang出现字幕的原因是在中国两个女孩试图复制中国Youtuber Xiaoye做的一顿饭，这引起了一个严重的味道，他们的父母起诉了肖。
26819,Ugzvbm0e1Ojbfnwzq1p4AaABAg,12,"This state of life should be yearning for all Chinese people, right?",这种生活状态应该是现在所有国人向往的吧
22932,UgxSKjSaOg5l6UTVji14AaABAg,11,It is a video that makes you feel the blessings of the earth and the wisdom of the diverse life of Chinese cuisine. looks delicious.,这是一个视频，可让您感受到地球的祝福和中国美食的多样化生活的智慧。看起来很美味。
19956,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq920fK0OaLWV,11,"@metalwaves4154 Thank you both. If what Ms. Li's observers posted on some Chinese sites are true, she is making around Chinese Yuan 200 million a year, from videos and online store combined. YT further gives her at least an estimated 1.5 million US dollars a year due to tens of millions of viewer clicks. She disclosed she sometimes worked till 3 a. m. to edit filmed images. At a number of times, she fell ill and was hospitalized due to over-diligence. I respect her since I grew up in south China and I can do 99 % of what she did on camera (due to my deprived childhood). I read and found some dislikes came from opposing camps and competitors. Like she does, My daughters and I donate funds to support underprivileged children.",@MetalWaves4154谢谢你们。如果李女士的观察者在某些中文网站上发布的内容是真实的，那么她每年从中国人民币围绕2亿人元来制作视频和在线商店。 YT进一步给她，估计每年至少有150万美元，这是由于数千万的观众点击。她透露她有时工作直到3 a。 m。编辑拍摄的图像。多次，她病了，由于过度填补而住院。我尊重她，因为我在中国南部长大，我可以做她在相机上所做的99％（由于我的童年时代）。我阅读并发现一些不喜欢的来自对立的营地和竞争对手。像她一样，我和我的女儿捐赠了资金来支持贫困儿童。
4587,Ugyn2oPC3jy_yDWl_nB4AaABAg,11,"The Chinese past knowledge being documented beautifully and preserved for the future generations. Im awed by this, even when china is currently in their the most advanced period in history and the world with their technology and infrastructure.",中国过去的知识被记录在后代的精美并保存下来。我对此感到敬畏，即使中国目前处于历史上最先进的时期，以及他们的技术和基础设施。
11400,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97r1h4y03ef,11,"@logicone5667 that is her home, she still lives there despite her success on youtube. her neighbors and so many other Chinese villagers actually live like this. you are only saying that because you are unable to do one tenth of the stuff she is capable to do",@Logicone5667是她的家，尽管她在YouTube上取得了成功，但她仍然住在那里。她的邻居和许多其他中国村民实际上是这样生活的。您只是说，因为您无法做她能够做的十分之一的事情
5404,UgyEUGjgz3If7omZWFJ4AaABAg,11,An example of how to live right with nature. Plus delightful traditional Chinese dishes! Everyone should watch Liziqi.,如何与大自然生活的一个例子。加上令人愉悦的传统中国菜肴！每个人都应该观看Liziqi。
29777,UgwoE2mCQ7DmVck-agF4AaABAg,10,"Don't watch it, I am the Chinese comments you are looking for.","别看了,我就是你要找的中文评论."
30906,UgzwGoc9tWSZUi0myDV4AaABAg.8yVQSrHBeQZ8yzTQ9XuUQw,10,"@plush3106 NO,NO,NO,my dear friend.As a Chinese, I would say that this girl's cooking is a common step in China.Some famous foods in China even take 72 hours to make.When I was young, my mother cooked food, it was as complicated as video, Chinese people pay much attention to food, and they are very willing to spend time on the cooking of food.If you know the cooking of different countries in the world, you will find that Chinese cooking is really complicated and requires skill and patience.Welcome to China，my friend.",@plush3106不，不，不，我亲爱的朋友。作为中国人，我想说这个女孩的烹饪是中国的常见一步。中国的一些著名食品甚至需要72个小时才能赚钱。我年轻时，我的母亲煮熟了食物，就像视频一样复杂，中国人非常关注食物，他们非常愿意花时间做饭。如果您知道世界上不同国家的烹饪，您会发现中国烹饪是真的很复杂，需要技巧和耐心。
4885,UgwBdL8RFnlKoh0KJ0V4AaABAg.9INZ0ibBT3R9I_PD2feCS3,10,"@user-xm4pq8ct2h I know Ziqi is Chinese. Just saw Korean people (maybe? Anyway, those who use Korean language) say such horrible words to her.",@user-xm4pq8ct2h我知道ziqi是中文。刚看到韩国人（也许？无论如何，那些使用韩语的人）对她说如此可怕的话。
8071,UgxIa2BUK26ZkulsMjx4AaABAg,10,"growing in a rural area, my hometown (Iloilo Philippines) I knew almost of the ingredients she uses and seen those in person. the method of how she prepares food is also not a surprise as we do the same thing in my hometown, it's just that the recipe is different. but i love how she promotes classic Chinese cuisine๐’
i'm proud being raised in a rural area, being not an 'alien' to these kind of traditional life, tho now i'm working in the city and foreign country..","我的家乡（菲律宾伊洛伊洛）在农村地区生长，我几乎知道她使用的成分，并亲自见到了这些成分。她如何准备食物的方法也不令人惊讶，因为我们在我的家乡做同样的事情，这只是食谱不同。但是我喜欢她如何推广经典中国美食
我很荣幸在农村地区长大，不是这种传统生活的“外星人”，现在我在城市和国外工作。"
4475,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9KySRjWROV_,10,"@amelialiu8084 First of all Koreans don't say they own everything, that's my point. 
And if you're saying Chinese people can say they own everything because of their long history, shouldn't Egyptians own everything since no one in our planet earth has a history longer than theirs?","@amelialiu8084首先，韩国人没有说他们拥有一切，这就是我的意思。
而且，如果您说中国人可以说他们因为悠久的历史而拥有一切，那么埃及人不应该拥有一切，因为地球上没有人比他们的历史更长？"
18228,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92gO_vJWCvr,9,"Lucy Chan you need a real Chinese to show you the good food and good restaurant in China, not just join to a visiting tour. The food they provided is always terrible.",露西·陈（Lucy Chan），您需要一个真正的中国人来向您展示中国的美味佳肴和美味餐厅，而不仅仅是参加访问。他们提供的食物总是很糟糕。
29517,Ugw7pdGvQF_fd0s96zJ4AaABAg.8yWiBLps9B58y_Crc9NTCv,9,蘭瑟Láncè dude are u even from China. Don’t say nonsense to humiliate ur fucking country. It’s already humiliating enough for me to be Chinese.,láncè的家伙甚至来自中国。不要对羞辱您他妈的国家说废话。它已经羞辱了我，让我成为中国人。
18915,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92LkK8kNJDc,9,"I really hope that many domestic UPs can tell Chinese stories and spread Chinese culture in YouTube. Alas, how foreigners understand the essence of Chinese, they are just curious.",真希望国内众多up主能在youtube讲好中国故事，传播中国文化，唉，中华之精髓外国人怎么懂，都只是好奇。
18825,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792W40Z1Rc2U,9,@oriolopocholo I’m Chinese and live about 100km where she’s from. See I’m using YouTube and even have a bloody gmail. I’m sick of ignorant people put the CCP Propaganda hat on everything from China. Have you ever thought about why you would think her videos which have absolutely nothing to do with political were propaganda organized for political purposes? Could that be the idea was seed in your mind by other propagandas?,@oriolopocholo我是中国人，她的住所约100公里。看到我正在使用YouTube，甚至有血腥的Gmail。我讨厌无知的人在中国的所有事物上都戴上了CCP宣传帽子。您是否曾经想过为什么您会认为与政治无关的她的视频是出于政治目的而组织的宣传？其他宣传在您心中可能是种子吗？
16768,UgwmnWFOWsQ7L8VuI6V4AaABAg,9,"As a Chinese,I think everyone should choose their own lifestyle,I like this peace",作为中国人，我认为每个人都应该选择自己的生活方式，我喜欢这种和平
4922,UgxNJs2i6_8SqB62Rgp4AaABAg,9,Chinese message is here ❤️,中文留言在这❤️
18465,UgxjAa_JW6Q6Li2P4Kl4AaABAg,9,"In the future, I have to call ""International"". The first page has no Chinese comment. I don’t think so many ""friends"" like you.",以后得叫“国际柒”了 第一页没有中文评论 想不到竟然这么多 “友人”喜欢你
