,cid,votes,含Chinese,含Chinese中文翻译
12629,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9D0H_TeqncF,47,"The hate is not directed towards the citizens, it's the government. And if you fail to see that, then you are part of the problem. Chinese government has taken important resources from Canada during the start of this pandemic. Chinese government has taken over parts of Philippines sea. Chinese government has taken over the rights of people living in Hong kong. Chinese government has censored many who wants to spread the truth. Chinese government has taken over the country of tibet, and it's resources. I have no hate towards its people. But their government needs to be exposed and taken responsible.",仇恨不是针对公民，而是政府。如果您看不到这一点，那么您就是问题的一部分。在这次大流行期间，中国政府从加拿大占据了重要的资源。中国政府接管了菲律宾海的部分地区。中国政府接管了居住在香港的人们的权利。中国政府对许多想传播真相的人进行了审查。中国政府接管了西藏国家，这是资源。我对它的人没有仇恨。但是他们的政府需要暴露并承担责任。
30695,UgxdG9ru8_pgZdE6FRt4AaABAg,47,"The Chinese chestnuts reminded me we have the edible Sweet Chestnut in England. Wonder if they are the same. Edit: not the same, but in the same family, and both are edible.",中国栗子提醒我，我们在英格兰有可食用的甜栗子。想知道它们是否一样。编辑：不一样，而是在同一个家庭中，两者都是可食用的。
49527,UgxKGc98LbV5EVRPIqh4AaABAg,45,"This was pure heaven. 
Happy Chinese new year to all.","这是纯粹的天堂。
所有人的农历新年快乐。"
36623,Ugxm8VmuqlhI1T8Dn2Z4AaABAg.8uRmcVJ_cGD8uXJ3SzcM8Z,45,"Sunflower seeds in Chinese are called ็“ๅญ, which literally means ""melon seeds"" (and can also refer to actual melon seeds). So it's easy to mistranslate. xD",中文中的葵花籽称为瓜子，这实际上是指“瓜子”（也可以指实际的瓜子种子）。因此，很容易翻译。 XD
13183,UgzGTGnIyu8rpnxgdIV4AaABAg.9C9qthCZ61x9CAk2SVxm9q,44,"That's a Chinese traditional tool to make popcorn. It is sealed to keep high pressure inside. Once it is opened, the pressure difference make a boom to let the corn become popcorn. It has been using from last century until now.",那是制作爆米花的中国传统工具。它被密封以保持高压内部。一旦打开，压力差就会使玉米变成爆米花。它从上个世纪一直使用。
46857,UgxyHdNFG8GxD0TWdWJ4AaABAg,43,"Bless the Chinese New Year of the world. The New Year this year can not return to China because of the exam. Ziyi and I came from the same place. When I saw her video, I thought of her grandma, because Ziyi did something that many Sichuan women would do, passed down from generation to generation. Unfortunately, many people in the mother are unwilling to learn. They are very happy to see that young people inherit these things. In addition, I will make most of the dishes she will make. It is also what grandma taught me before I went abroad. I was afraid that I could not eat the taste of my hometown outside. I hope that young people can take the initiative to inherit the traditional culture of our Chinese nation ~ I hope to graduate soon and return to Sichuan as soon as possible.",祝福全球华人新年快乐。今年过年因为要考试没办法回国啦。我和子柒来自同一个地方，看到她的视频就想起了自己的奶奶，因为子柒做的就是很多四川女人会做的东西，代代相传。可惜到了妈妈辈很多人都不愿意学习了，很开心看到还有年轻人传承这些东西。另外，她做的菜我会做大半部分，也是奶奶在我出国之前教我的，怕我在外面吃不到家乡的味道。希望年轻人都能主动传承发扬我们的中华民族的传统文化吧~ 希望早日毕业，早日回到四川。
7774,Ugx9CQFCvBhTm5r0Gk54AaABAg,43,"New year is coming. This video is still my favorite. Happy Chinese New Year, Ziqi!",新年即将到来。该视频仍然是我的最爱。农历新年快乐，Ziqi！
47319,UgzBjxAQxko9UESdin94AaABAg,43,"it's Chinese new year 2 days later, the MOST important day for all Chinese every year no matter where they are(if Chinese astronauts someday could land mars, it still is). for kids , elder relatives will give them small amount of money(压岁钱) to repress their growing older, that's a tradition with many blessing meanings. the whole family will stay awake the whole night of new year's eve, enjoy feast，watch shows, play fireworks.",两天后，这是农历新年，这是每年最重要的一天，无论他们身在何处（如果有一天中国宇航员有一天可以登陆火星，那仍然是）。对于孩子来说，老年亲戚会给他们少量的钱（压岁压岁）来压制他们的年龄较大，这是一种具有许多祝福的传统。全家人将在除夕整个晚上保持清醒，享受盛宴，表演，玩烟花。
30090,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd78xgt-L01NMI,42,Billy Merlin I'm Chinese I never eat dogs. sorry for let you know you are so wrong๏ผthe young generation condemn whoever eat DOGS,比利·梅林（Billy Merlin）我是中国人，我从不吃狗。对不起，让您知道您错了，年轻的一代谴责谁吃狗
798,UgyRITwQZG9tKfNwfy94AaABAg.9joLMP0xdAV9k7Xf9ZgOww,42,"She won, Chinese social media said she took back her company, maybe she can update new video soon",她赢了，中国社交媒体说她收回了她的公司，也许她可以很快更新新视频
52122,UgxU9pNshSQpZEJxSsp4AaABAg,39,Wow you cook a lot today. Is it preparation for Chinese New year next week?,哇，你今天做很多。下周为农历新年做准备吗？
22828,UgxeONDnwrQlHsaOEqd4AaABAg,38,"I'm from China, and I'm proud of Liziqi, who presents our culture and civilization, even if who brings back all my old childhood memories in village, wonderful years, also I miss my grandmother so much. Chinese always love peace and hardworking from time immemorial . Welcome every friends to visit China.^_^",我来自中国，我为利兹奇（Liziqi）感到骄傲，利兹奇（Liziqi）呈现了我们的文化和文明，即使谁带回了我在村里的所有童年记忆，也很想念我的祖母。中国人总是喜欢远古时代的和平与勤奋。欢迎每个朋友访问中国。^_^
48641,UgzqTdOund5JJ71uno54AaABAg,37,"Thank you, and Happy Chinese New Year.",谢谢你，春节快乐。
47902,Ugwxb_pQgGhGPj7AkIN4AaABAg,37,Happy Chinese New year !!! Love from India,农历新年快乐！！！来自印度的爱
47324,UgyokK6B7E47XLXi7OJ4AaABAg,37,"Happy Chinese New Year to u and grandma!!! 
I love watching ur videos! The life u live is beyond beautiful...","在春节快乐，你和奶奶！！！ 
我喜欢看你的视频！你的生活超越美丽..."
48052,UgxSlmgJ76fpxtlh0pl4AaABAg,36,Happy Chinese New Year Miss Li!,李小读李小姐快乐！
30988,Ugwr22eLPwBmdeQ8EsF4AaABAg,35,"Fantastic work, it reminds me my childhood life! She possesses skills of majority of farmer house wife in a typical traditional Chinese community.",出色的工作，这使我想起了我的童年生活！在典型的中国传统社区中，她拥有大多数农民之家妻子的技能。
46306,Ugx7UxP47xFbaayUuQV4AaABAg,34,Happy Chinese New Year,春节快乐
30510,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xDNjx_I5o1,33,"Odee We have youku instead youtube, so we don't have to break the law, her video will first upload to weibo, meipai, tiktok and so on, youtube may be the last one.She is not poor, she worked in city when she was younger, she came to her hometown because her grandma is old and she wants to take care of her. I grew up in the countryside either, and I am working in Beijingnow, If I want , i can do the same thing like she did, of course no gov. Her team have three people, include her. But she do most things. Why do I know this? Because I'm Chinese, I broke the law, so I can talk to you here, but most time I scan youku , weibo, bilibili, and so on.",ODEE我们有Youku而不是YouTube，所以我们不必违反法律，她的视频将首先上传到微博，Meipai，Tiktok等，YouTube可能是最后一个。她还年轻，因为她的祖母老了，她想照顾她，所以她来到了家乡。我也在乡村长大，在北京那诺工作，如果我愿意的话，我可以做像她一样的事情，当然没有政府。她的团队有三个人，包括她。但是她做大多数事情。我为什么知道这一点？因为我是中国人，所以我违反了法律，所以我可以在这里与您交谈，但是大多数时候我会扫描Youku，Weibo，Bilibili等。
30083,UgwuZpYWUJmsZqmhdLh4AaABAg.8xJbLxxntd78xWJwu5HPpI,32,"@billymerlin4186 even if she ate dogs, it won't be the ones who company her for so long. Besides, Chinese breed special dogs for meat. Her dogs have different use.",@billymerlin4186即使她吃了狗，也不会是那个陪伴她这么长时间的人。此外，中国繁殖特殊的狗作为肉。她的狗有不同的用途。
40930,Ugwc3Uuun-yX8SjhRq14AaABAg,32,"I don't know if sheep will be eaten, but dogs won't. In rural China, people feed dogs to protect their homes. Modern Chinese basically don't eat dogs.",我不知道绵羊是否会被吃掉，但是狗不会吃。在中国农村，人们喂狗以保护自己的房屋。现代中国人基本上不吃狗。
37239,UgzDyOGv9HFuNVAYXuh4AaABAg,31,"I have been on YouTube for eight years. For the first time I wrote a comment, thank you for showing the traditional Chinese things in a beautiful expression. Follow You",上youtube八年了，第一次写评论，谢谢你把中国传统东西以唯美的表现出来。关注你
50038,UgxHMaRcAUqVKMIAxIl4AaABAg,31,Happy Chinese New Year <3 love from Malaysia,农历新年快乐<马来西亚的爱
51490,UgyobaIqVKJhF0zht0V4AaABAg,30,Happy Chinese new year,春节快乐
48132,Ugys051YCooFfA4pyaF4AaABAg,30,Happy Chinese new year,农历新年快乐
50036,UgyQLkCzrfLZfBONlFh4AaABAg,30,Happy Chinese New Year to Li Zi Qi & lovely Popo :),李齐和可爱的popo的农历新年快乐:)
27191,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB8zZ1lnAZSS6,30,"โ€ @jeieldavid6347 For a Chinese, 4G there is everywhere.",@jeieldavid6347对于中文，到处都有4G。
50685,Ugx0RV8ktB83UZC8OBB4AaABAg,29,"Happy Chinese new year
I'm from North-East India and our tribe name is Karbi... We karbi people also celebrate our new year on 1st February","农历新年快乐
我来自印度东北部，我们的部落名称是卡比...我们卡比人民也在2月1日庆祝我们的新年"
50486,Ugza_lawnWOvC7m3vFt4AaABAg,29,Hpy Chinese New Year!!! Greetings from India ✨,hpy农历新年！！！来自印度的问候✨
50256,UgzEMEDhpwtgD3IMPRF4AaABAg,28,Happy Chinese New Year from Indonesia,来自印度尼西亚的农历新年快乐
