,cid,votes,time,含fake,含fake中文翻译
27243,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-42miArLcP,8,3 years ago,"this is from an media interview of her. i read the original interview transcript. unless we think that what she said during the interview was fake, she did deserve a better life and all the respect. i chose to believe her because i have done some of the things shown in her videos while i was young. i could tell that the way she did those jobs is natural and experienced, definitely not fake posing for filming. best wish to this talented, independent and beautiful girl",这是来自她的媒体采访。我读了原始的面试成绩单。除非我们认为她在采访中所说的是假的，否则她确实应该得到更好的生活和所有的尊重。我之所以相信她，是因为我年轻的时候做了她视频中显示的一些事情。我可以说她做这些工作是自然而有经验的方式，绝对不是假装拍摄的假装。祝这个才华横溢，独立和美丽的女孩
33775,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48w1wy-1rOuP,7,4 years ago,faked for views and likes?,伪造观看和喜欢？
17626,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98AQIr4XPqn,6,3 years ago,"her parents divorced when she was a kid. after her stepmother abused her, she went back to grandma and grew up with them. due to poverty, she dropped out of school at 14 and went to big city and tried to make a living. she moved back to village to take care of her sick grandma and started filming her life in rural. i wouldn’t argue whether it’s fake or not. she created a life that many ppl wants to own. given her background, what an achievement!",她的父母小时候离婚。继母虐待她后，她回到奶奶，和他们一起长大。由于贫困，她在14岁时辍学，去了大城市，试图谋生。她搬回村庄照顾自己的奶奶，并开始在农村拍摄自己的生活。我不会争论是否是假的。她创造了许多人想要拥有的生活。鉴于她的背景，这是一项成就！
27236,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-1__DNXIti,6,3 years ago,แบจm thแปฑc mแบน lร m it never occurred to me that they were fake. they are visually beautiful which i guess is why some peopleโ€internet trollsโ€ think they can be fake. i dont care either way. i find them beautiful and relaxing. be they real or contrived.,我从来没有想到他们是假的。它们在视觉上很美，我想这就是为什么有些人“互联网巨魔”认为他们可以是假的。我不在乎。我发现它们美丽而放松。是真实的还是人为的。
25662,UgzsuyYqpWh-NROlzkF4AaABAg.9-6D8C6Q_lL9-yP0VMnW0T,6,3 years ago,"world oา“ ส€ึ…สษplay what else do you know except tiananmen?? how many years passed, you guys canโ€t say anything but tiananmen, cuz there are too many great things in china but little wrong thing and you always clung to it. even an developing country canโ€t explore their road? why canโ€t see yourself country? why you always are biased to the government of china ? my uncle has been experienced with tiananmen . he told us the truth is similar as the document that government openness. before you talk about this why canโ€t you go to see the website of government, they have public six pages documentation about the tiananmen . every media has its own ideology . should our media make efforts to propagate the tiananmen??cant understand you. your media have your ideology, so you can see too many fake and negative things about china .but however they resort , china is just be there, and the people here are happy for their live,they are freedom to learn what they interest in, travel where they love to and buy what they want to buy ,and they have a understand and contain and dialectical heart.",世界oғғ ^播放除了天安门，你还知道什么？多少年过去了，除了天安门，你什么也没说，因为中国有太多伟大的事情，但不错的事情，你总是坚持不懈。即使是发展中国家也无法探索他们的道路？为什么看不到自己的国家？为什么您总是偏向中国政府？我的叔叔与天安门经历过。他告诉我们，事实与政府开放的文件类似。在您谈论这件事之前，为什么您不能去看政府网站，他们有关于Tiananmen的公开六页文档。每个媒体都有自己的意识形态。我们的媒体应该努力传播天安门吗？您的媒体有您的意识形态，因此您可以看到有关中国的假冒和负面事情。但是，他们求助，中国只是在那里，而这里的人们为自己的生活感到高兴，他们可以自由地了解他们对什么兴趣，他们喜欢去的地方旅行并购买他们想要购买的东西，并且他们有理解和围绕辩证的心。
21045,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO97_g-sLKEuv,4,3 years ago,@idontcarei she is orphaned and poorly educated so i don't think this video is fake,@idontcarei她是孤儿，受过良好教育，所以我认为这段视频不是假的
17606,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh981n8Kai5gB,4,3 years ago,"yeah, because its fake...and everyone believe its real. sometimes i think they never saw china's true countryside life.",是的，因为它是假的……每个人都相信它的真实。有时我认为他们从未见过中国真正的乡村生活。
13837,Ugy-s-igq7UeBhfUc894AaABAg.9BNnqoG0J8d9C7psfKp16w,4,2 years ago,"he just felt that his compatriots were closer and proud, and may be compared to the fake news and poisonous tongue of some political programs in bay. nothing, it is normal to have a sense of national pride. i have stayed abroad for a long time, and foreigners often show national pride when they speak. i feel nothing.",他只是觉得同胞比较亲近和骄傲，可能是对比一些湾湾的政治节目的假消息和毒舌有一些感触而已。也没什么嘛，有民族自豪感也正常，我在国外待久了，外国人说话时也很经常流露出国家自豪感的。觉得没什么。
23126,Ugw_Ci03K7SmHfht3ON4AaABAg,4,3 years ago,i donโ€t care itโ€s fake or real i do love her videos ๐๐๐,我不在乎它是假的，还是真实的，我确实喜欢她的视频
43564,UgyupX55LjEryDV29sx4AaABAg,4,4 years ago,1st time i watch your 2 vedio but both account are fake i think this one is real? i subscribe your channel love and respect from pakistan,我第一次看您的2个vedio，但两个帐户都是假的，我认为这是真实的？我从巴基斯坦订阅您的频道爱和尊重
4278,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9W9sPXh59Fn,3,1 year ago,"@miukeefeng4951 just because she's being filmed while she does it doesn't mean it's fake. she gets help in her videos but her lifestyle doesn't magically change once the cameras stop rolling. she still lives in the mountains with her grandma, that doesn't change.",@Miukeefeng4951仅仅因为她在拍摄时被拍摄并不意味着它是假的。她在视频中获得了帮助，但是一旦相机停止滚动，她的生活方式就不会神奇地改变。她仍然和祖母一起住在山上，这不会改变。
4257,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9UTmwhzAk4k,3,1 year ago,"lol because she doesn’t, there’s a whole film crew and they’re all making millions off these fake videos",大声笑，因为她没有，所以有整部电影剧组
19288,UgxWef6bOh8X0hj733J4AaABAg,3,3 years ago,if you think her videos are fake look at her hands at 7:55 those hands are from someone whose worked hard their whole life. appreciate this amazing woman and be inspired.,如果您认为她的视频在7:55时是假的，那些双手都是从一生都在努力工作的人。欣赏这个神奇的女人，并受到启发。
46665,UgznRayRv0aCLiZInI54AaABAg.8qs_TK17Zu78qsckUcmDJN,3,4 years ago,"for those who say li ziqi fake at the little brother channel of western yunnan, i want to add a few words. first of all, starting from a large level, they made excellent videos to share with people who love food culture around the world, so that more people understand the beauty of chinese culture. do you have done it? just vomit the sputum of other people's works in a casual sentence, and feel that some cooperation with the merchant defile your eyes? then, take a step back to talk about video production. which one should not take care of the mirror editing in the later stage? critics, do you spend money to watch the video? no. did you participate in the video production? no. you respect the efforts and choices of others. not only are there no, but you are also whispering, yin and yang weird, where can people do not do well, go to weibo to give opinions! didn't you change your opinion? take your own business! have nothing to do? brother, so many traitors around them, hurt the world, care about them! intersection intersection take a step back, these critics have not criticized the ideas at all, many of them are still catching the wind, and the clouds are also cloudy. when you make a criticism next time, you ask yourself a word. what do i make in my own criticism? i said in this way, what does it mean for others? did i have a negative impact on the perception experience of others (those who want to be calm and cured)? it's all adults, so mature, please! intersection intersection intersection intersection",针对在滇西小哥频道底下说李子柒假的人我想特别补充几句。首先，从大的层面开始讲，她们做出了优秀的视频与全世界热爱美食文化的人们分享，让更多的人了解了中华文化的美好。批评者们你们做到了吗？随随便便一句话就吐别人作品一口痰，觉得和商家的一些合作玷污你们的眼了？然后，退一步说视频制作，讲究值得赞叹的分镜剪辑后期哪个不要花心思？批评者们你们花钱看视频了吗？没有吧。你们参与视频制作了吗？没有吧。你们尊重别人的努力和选择了，不仅没有，还窃窃私语，阴阳怪气，人家哪里有做的不好的，去weibo提意见啊！提意见了没改？取关做自己的事去啊！没事情做？大哥，周围那么多作奸犯科的，伤天害理的，管他们去呀！！！再退一步说，这些批评者完全就没批评到点子上，很多还是捕风捉影，人云亦云，你们下次再提出批评的时候问自己一句话，我在批评的过程中我自己做出的贡献是啥？我这样在下面说别人的不是意义何在？我有没有给别人（那些希望得到平静与治愈的人们）的观感体验带来负面影响？都是大人了，成熟一点拜托了！！！！！
4252,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9UCppqG1Whn,3,1 year ago,@diogomelo3705 let’s suppose it’s fake but the shootings take around 5 days out of a week . that’s enough time to make it a real lifestyle,@Diogomelo3705假设它是假的，但是枪击事件大约需要一周的时间大约5天。那是足够的时间来使其成为一种真正的生活方式
43800,UgyyBm-8_ZYK8anhOLN4AaABAg.8rIMvIWiIC08rQmCo25hUj,3,4 years ago (edited),"it's filmed like a film, not a youtube video. i'm not buying this, you don't get someone acting all cutesy like at 9:51. yeah, everyone will act cute, but no one does that. that's fake. it's a trend to try to be 'natural' now. okay so i clicked on a random video and someone was like 'take a break! don't work too hard!'. come on, you wouldn't do or film that unless you had ulterior motives. notice the sad :(((( music",它像电影一样拍摄，而不是YouTube视频。我不买这个，您不会像9:51那样让某人表现得所有可爱的人。是的，每个人都会行事可爱，但没人会这样做。那是假的。现在尝试“自然”是一种趋势。好的，所以我单击了一个随机的视频，有人就像“休息一下”！不要太努力！'。来吧，除非您有别有用心，否则您不会做或拍摄过。注意悲伤：（（（音乐）
16312,Ugyl6BAyt6f-kggeWyh4AaABAg.98llsjx6THb99gFDLN3hep,3,3 years ago,"@go mvb, isn't it? now the new year is just a fake, forgetting the connotation of the year.",@Go mvb 可不是吗，现在过年只是走形式放个假，忘记了年的内涵。
4266,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9UfyFmwf9Me,2,1 year ago,"so if she gets rich before this and her point is to show people the rural life which she chose so whats the problem you said it yourself there alot of millionaires out of poverty so whats the difference with her videos. her videos showing culture, old style cooking a lifestyle. lol... fake? why would you call fake if she can really do all those things you said it yourself even if you did not finish highschool you can still be millionaire and she did that",因此，如果她在此之前变得富有，而她的观点是向人们展示她选择的乡村生活，那么您自己说的问题是什么，这是有贫穷的很多百万富翁，所以与她的视频有何不同。她的视频显示文化，旧式烹饪生活方式。大声笑...假吗？如果她真的可以做所有这些事情，即使您没有完成高中，为什么还可以打电话给假货，您仍然可以成为百万富翁
4124,UgyUrXRsMA8pgAIACYd4AaABAg.9Rx3e3xqjGI9URpLCc5oSs,2,1 year ago (edited),"it’s all fake though, please don’t deceive yourself. a life like this is completely unrealistic in any part of the world. you will not find anything remotely similar to this lifestyle in china.",这都是假的，请不要欺骗自己。像这样的生活在世界的任何地方都是完全不现实的。您不会发现与中国这种生活方式相似的东西。
4296,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9YhF785tIVa,2,1 year ago,@diogomelo3705 easy to tell its not fake. her hands are those of a hard worker's. of course she is rich but she earned it.,@diogomelo3705易于说出它的不是假。她的手是一个勤奋的人。她当然很富有，但她赢得了。
21741,UgxPkTKkzWHD6V2Iizd4AaABAg.93MeJ4vjDrb93P39lf9VuO,2,3 years ago,"@safiresays3835 because all you see is fake news about china from the foreign media. there are also a lot of people on youtube who have been brainwashed by the media to be biased against china. including what xinjiang issue, hong kong issue, the chinese see only helpless smile, after all explanation too tired",@Safiresays3835，因为您看到的只是外国媒体上有关中国的假新闻。 YouTube上也有很多人被媒体洗脑给中国有偏见。包括新疆问题，香港问题，中国人只看到无助的微笑，毕竟解释太累了
19687,UgwckxUG_K1wjg551s14AaABAg,2,3 years ago,"if you've ever done a real days work in your life you can recognize someone who's become skilled through experience, this is something you can not fake.",如果您曾经在生活中做过真实的日子工作，那么您可以认识到一个通过经验熟练的人，这是您无法伪造的。
18849,UgwbibGMiyzwPEpnF_94AaABAg.96UIVx8UAMx97JOXmLOx12,2,3 years ago,"i think the dislikes come from an article which stated this girl's life is fake and it's a show. that she doesn't do everything on her own but there's a lot of props, people helping behind the scenes and camera crew. many people felt disenchanted her life wasn't accurate. i personally feel they were trying to portray a beautiful rural living of china. i don't see it the same way after i read the article but still enjoy watching because it's something we can all strive to have: our own land with food, resources.",我认为不喜欢的是一篇文章，说这个女孩的生活是假的，这是一场演出。她没有自己做所有事情，但是有很多道具，人们在幕后和摄制组中提供帮助。许多人感到自己的生活不准确。我个人觉得他们试图描绘中国美丽的乡村生活。在阅读文章后，我看不到相同的方式，但仍然喜欢观看，因为这是我们所有人都可以努力拥有的东西：我们自己的土地，带有食物，资源。
31659,UgxoJ3LKcV-lAyEyPz54AaABAg.8w6EOq7RXc18wwtNHixC36,2,3 years ago,"@mrfake-bt5qp puppies and cats are also their normal diet. in the same chain of food as lambs, pigs, cows and etc. so, god save the lamb and those puppies.",@mrfake-bt5qp幼犬和猫也是他们的正常饮食。在与羔羊，猪，牛等的食物链中，上帝拯救了羔羊和那些小狗。
20914,UgxbKRpBovS4jA6rNqJ4AaABAg.946AnDac2eu95Az35X9lJp,1,3 years ago (edited),"i hate living in the cities. both my parents grew up on the countryside and got to grown their own food. i'm tired of this fake, ultra-processed food and the constant noise and pollution (light pollution too). from the summers i spent in my grandmother's village, life was so simple and calm. we got to eat real food and spend time in nature. i wish i could move out to the countryside. i want to have my own garden and maybe some chickens. i'm too young and don't have much money now, but one day in the future i will. i've noticed many people my age wanting to reconnect with nature again. i hope this becomes a revolution for our generation",我讨厌住在城市。我的父母都在乡村长大，并自己种植了自己的食物。我厌倦了这种假的，超级加工的食物以及持续的噪音和污染（也是光污染）。从我在祖母的村庄度过的夏天，生活是如此简单和平静。我们必须吃真正的食物，并花时间在大自然中。我希望我可以搬到乡村。我想拥有自己的花园，也许还有一些鸡。我太年轻，现在没有太多钱，但是将来有一天我会。我注意到许多我这个年龄的人都想再次与自然重新建立联系。我希望这成为我们这一代的革命
51720,UgxYasu9FDqzWgUHqsl4AaABAg.8qlSxysCabu8qlgY1blrM3,1,4 years ago,"​ @haruzanfuucha you call my source fake but what about yours? i'm not making myself a victim, do not put words in my mouth. maybe you think my things make no sense because you didn't read enough.",@haruzanfuucha您称我的来源为假，但是您的呢？我不是让自己成为受害者，不要把话语放在我的嘴里。也许您认为我的事情没有意义，因为您的阅读还不够。
20457,UgxqI8-Rj1X35JtrBRR4AaABAg.94WG1rmiizB94os9hGWMGU,1,3 years ago,do you send a wechat circle of friends? isn't it also a good hair? is your life fake?,你发微信朋友圈不也是挑美好的发吗，难道你的生活都是假的吗
20455,UgxqI8-Rj1X35JtrBRR4AaABAg.94WG1rmiizB94WR-oIMEFV,1,3 years ago,"this is a part of life, not a fake rural life, boring, boring, and painful parts deleted, and good -looking things contribute. this is the original intention of film and television.",这是生活的一部分，并不是假的田园生活，无聊，枯燥，痛苦的部分删去，好看的东西贡献出来。这就是影视的初衷嘛。
21034,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO94RaUbAf0VF,1,3 years ago,"she is a influencer ..this is all fake ..cant u make out by all the makeup ,up to date clothes etc",她是一个有影响力的人..这都是假的。
34103,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49gLOSzUa4QZ,1,8 months ago,yes but this is a fake video nobody can really live like this but it's a really cool fake reality,是的，但这是一个假视频，没人能像这样生活
51719,UgxYasu9FDqzWgUHqsl4AaABAg.8qlSxysCabu8qlg-a7CNNj,1,4 years ago,"@haruzanfuucha you call wikipedia fake? you tell me things you believe as true, and i tell you what i believe as true. we're not so different. and i've never called you by names, you're the one being rude.",@haruzanfuucha您称Wikipedia为假吗？您告诉我您认为是真实的事情，我告诉您我相信的真实。我们没有那么不同。而且我从来没有用名字给你打电话，你是粗鲁的。
21761,Ugzwx-4196hFJxN3ceJ4AaABAg,1,3 years ago,"it is hard to imagine that this is mianyang, china. is it a fake china? my family is only 100 kilometers away from mianyang? where is the place where the time is quiet? our rural areas are definitely not like this, absolutely",难以想象这是在中国绵阳，难道我呆的是假中国吗？我家离绵阳也就百公里而已啊？如此岁月静好的地方到底会是在何处呢？我们的农村绝对不是这个样子，绝对
32984,UgxxOUkIOi6ps9xpIfB4AaABAg,1,4 years ago,"i wanna introduce some background of ziqi for people to know better about her. she was born in sichuan province in china. she actually suffered a lot of difficulties while she was a child, her father died early and her mother left her, she was raised up by her grandma. since her family was pretty poor, she dropped off from school since she can't afford the money. she went to cities and did a lot of hard jobs but when her grandma's health went bad, she quit the jobs and decided to move back to the village her grandma. she started to do self-online business to make money but it was not successful at first, but while chinese short-video industry developing, she started to make the first chinese ancient food cuisine and that video attracted a lot of people to watch. while she got more successful, it appeared a lot of against voices online, they assumed she used different people to act and she had a huge team to edit these videos. the worst thing is that some people even set up cameras in her house to see the shooting process whether it is fake or not.


under so many pressure, she had to move with her grandma to a much more remote place so that people can not find them. she suffered so many difficulties and finally achieved success but she still continues living and surviving, try to express the most beautiful scenery for us to watch. i really wanna appreciate all the hard work you did and every updated video represents an increasing quality. 


don't get injured, take care of yourself, you already did good enough, your videos motivated so many people all around the world, you overcome the language barrier and show the world the best of your life and china. as a chinese person, i really wanna say thank you.","我想介绍Ziqi的一些背景，让人们对她的了解得更好。她出生于中国四川省。实际上，她小时候遇到了很多困难，父亲早就死了，母亲离开了她，她的祖母长大了。由于她的家人非常贫穷，因此由于她负担不起钱，因此她离开了学校。她去了城市，做了很多艰苦的工作，但是当奶奶的健康状况不佳时，她辞去了工作，决定搬回祖母的村庄。她开始从事自我键盘的业务来赚钱，但起初这并没有成功，但是当中国短视频行业发展时，她开始制作第一家中国古老的食品美食，该视频吸引了很多人值得关注。尽管她取得了更大的成功，但似乎在网上反对声音，但他们认为她用不同的人表演，并且有一支庞大的团队来编辑这些视频。最糟糕的是，有些人甚至在她的房子里设置了相机，以查看射击过程是否是假的。


在这么多的压力下，她不得不和祖母一起搬到一个更偏远的地方，以便人们找不到它们。她遇到了很多困难，并最终取得了成功，但她仍然继续生活和生存，试图表达我们最美丽的风景。我真的很想欣赏您所做的所有辛勤工作，每个更新的视频都代表着质量的提高。


不要受伤，照顾好自己，您已经做得足够好了，您的视频激发了世界各地的许多人，您克服了语言障碍，并向世界展示了您的生活和中国。作为一个中国人，我真的想说谢谢。"
44147,UgymUsyD_tmXlhnalMl4AaABAg,1,4 years ago (edited),"gotta love how they got the great camera and lighting setup and it's a professionally produced video. perfect hair, clothing and makeup for a video like this. the small animals, the road full of fruit on the ground perfectly arranged, everything looks fake and staged. i bet they eat mcdonald's all the time and they don't even eat the stuff on these videos, it's just for the money. the only things they probably eat from this video are the puppies and baby sheep once they grow up and are no longer cute enough for the videos. i hope they upload the video when they eat those dogs.",要喜欢他们如何获得出色的相机和照明设置，这是一个专业制作的视频。完美的头发，衣服和化妆，用于这样的视频。小动物，地面上充满水果的道路完美排列，一切看起来都是假的和上演的。我敢打赌他们一直都在吃麦当劳，甚至都不在这些视频上吃东西，而是为了钱。他们可能会从这个视频中吃的唯一东西是一旦它们长大后，它们就不再足够可爱，无法使用这些视频。我希望他们在吃那些狗时上传视频。
26179,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-90-uB4gTyHL,1,3 years ago,@user-sc8cy5qc6e now a days... many people have their own youtube channel. and among those some of them really don't deserve it... they make unnecessary/useless or fake stuffs. so maybe you are right she is making million. but that's not a crime...and also...her videos are not unnecessary or useless.... many people loved her because she is prioritizing village lifestyle and cooking and all the village activities... that's what's people love...it's also meditative to watch her videos. so i hope you won't get offended by her.... cause we are not...๐๐๐’—๐’—,@user-sc8cy5qc6e现在是几天...许多人都有自己的YouTube频道。其中有些确实不值得……他们制作了不必要的/无用或假的东西。所以也许你是对的，她正在赚百万。但这不是犯罪……而且...她的视频不是不必要的或没有用的。...许多人爱她，因为她优先考虑乡村生活方式和烹饪以及所有乡村活动...这就是人们喜欢的。 。观看她的视频也是冥想的。所以我希望你不会被她生气。...因为我们不是...
38922,Ugw8eIf88gpXQfbT9tJ4AaABAg,1,4 years ago,"this is a fake house, everything is spanking new. real village houses arent like this . she seems to be an amazing cook though.",这是一个假的房子，一切都在打屁股。真正的村庄像这样住了。她似乎是一位了不起的厨师。
27733,UgyCF6bdU-rVCcIslxd4AaABAg,1,3 years ago,"why does it feel fake, she is not fighting alone",为何给人感觉很假，她不是一个人在战斗
