,cid,votes,time,含fake,含fake中文翻译
16795,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI934RfYi8oIp,4,3 years ago,it's a fake. it's a tool of chinese propaganda.,这是假的。这是中国宣传的工具。
18934,UgxLNsP-0aqASJwOqrN4AaABAg.92Cl3k4IWNV92ZOOBC3QJc,4,3 years ago (edited),"chinese culture is so wide, tao yuanming's rural life and the life of ordinary farmers are part of chinese culture. li ziyi shows tao yuanming's rural life. people who are tired of urban life seeks spiritual comfort through her videos. it is why many people watch this video. the movies are all produced in the later stage. it can be moved. if you are true, you can go to the documentary. oh, if the chinese on the tip of the tongue are so beautiful in the countryside, is it the real rural area in your heart? as long as it is not different from the rural areas in your heart, it is not rural, it is fake? what made me most angry was li ziyi shot a video. foreigners were praised. at this time, someone jumped out. everyone was drunk and i woke up alone. this is not a real countryside. well, this shooting method is very professional ... just like when everyone just watched the four in foreign countries, everyone was very moved. at this time, someone jumped out and told them that it was false. in reality, it was not like this. there is no iron man in reality, there is no spider -man in reality",中国文化这么广博，陶渊明式的田园生活和普通农民的生活，都是中国文化的一部分，李子柒表现的是陶渊明式的田园生活，厌倦了都市生活的人们通过她的视频来寻求精神的慰藉这就是很多人看这个视频的原因。电影都是后期制作出来的，照样能感动人，你要真实你可以去看纪录片，哦对了舌尖上的中国把农村拍的这么美这个难道是你心中真实农村的样子吗？只要不和你心中农村的样子不一样就都不是农村了，就都是假的了？最让我气愤的是 李子柒拍一个视频，外国人都是一片赞美，这时候有人跳出来了，众人皆醉我独醒，这不是真的农村，这是经过美化的，这是后期做出来的，这拍摄手法很专业…就像在外国大家刚看完复联四，大家看的都很感动，这时候有一个人跳出来了，和他们说这是假的，现实中不是这样子的，现实中没有钢铁侠，现实中没有蜘蛛侠
4634,UgyqlJVXVRBt5hYfviJ4AaABAg.9JC7ArXt6XW9JJFGJYe1Gx,3,2 years ago,"every word you say is a lie, just like your fake history, all fake",你说的每一句话都是谎言，就和你们的假历史一样，全是假的
18389,Ugy2HeZHR4i5vHwG5gR4AaABAg,3,3 years ago,"this video is fake, how can there be mustard? impossible! is it affordable?",这视频是假的，怎么可能有榨菜？不可能！那是人吃得起的？
15395,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss97NjrKd8vsk,2,3 years ago,"strait arrow i agree with you. it’s seems all too fairytale and easy, when rural life is hard and dirty and not as glamour as all the videos make it out to be. i’m not saying this is fake but it’s such excellent quality camera work and production that it seems too good to be true.",海峡箭头我同意你的看法。当乡村生活艰难而肮脏并且不像所有视频所表现出的那样魅力时，这似乎太童话和容易了。我并不是说这是假的，但它是如此出色的质量相机工作和制作，以至于真是太好了。
25488,UgyQ7V9k4yRRiJ7Ynxd4AaABAg,2,3 years ago,"such a fake and romanticized image of countryside life! grandma, traditional means of cooking, growing all ingredients, always clean and wearing make up... your team is professional!",如此伪造的乡村生活形象！奶奶，烹饪的传统手段，种植所有食材，总是干净且穿着化妆...您的团队是专业的！
17593,UgyCe6ouhf9RYhQAJrZ4AaABAg.92ifb9pcRNP92u_ufkfGea,1,3 years ago,"joey josef see but to me, it doesn’t matter if it’s real or faked. as long as it makes me feel happy and peaceful, who cares if it’s real or not.",乔伊·约瑟夫（Joey Josef）看，但对我来说，这是真实的还是伪造的。只要这让我感到快乐与和平，谁会在乎它是否真实。
19349,UgxGLMx7c0xW2QVlqqR4AaABAg,1,3 years ago,"those who have eaten fake screws, come here to see what is the screw fan",那些吃过假螺丝粉的，来这里看看什么才是螺丝粉
19992,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9P2Z1V2Xuy5,1,1 year ago,"@user-qr1zk1kn5z i disagree, but even if it was fake, it’s still really good content?",@user-qr1zk1kn5z我不同意，但是即使是假的，它仍然非常好？
16831,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI93HwwU5gTQN,1,3 years ago,"when you think li ziyi's video is fake, the rural areas are not like this at all. i want to tell you that rural china is indeed not like this.
but showing the true appearance of rural china is not the theme of her video at all. the reason why you see such a beautiful video will cause discomfort because it subverts your impression of china, this is not china you know.
the real china should be messy and the people's quality is low. you are embarrassed and even painful for this. you instinctively resist the beautification of china, so you are skeptical of the video here.
many people have ""escaped"" or hope to ""escape"" china because of the status quo of contempt china. however, they may not expect that inferiority in their hometown will always be wrapped like a nightmare. when people enjoy the beauty and tranquility of li zihuan's video, they feel dislike and anger; when people admire china's development and progress, they will not have a hint of joy; a developed country feels that china's threats want to curb china some people even become accomplices. those who despise themselves are actually scornful. china is their demon, as long as they mention them, they will suffer.
i want to remind these people that 1.4 billion people living in china are also flesh and blood, and they are pursuing a happy and peaceful life. they also have their own creativity and imagination. why can't they create such high -level works? why can't china be beautiful?
those who feel that you are offended, if you are abroad, please leave this channel quietly, forget everything about china, and hope that you can live easily and have dignity. if you are in china, please open your eyes and look at everything around you, maybe more beautiful things are waiting for you to discover. even if you can't find it, spend more time to accompany your family, it is a beautiful thing.


——the above is just written to those chinese who have been demon","当你们觉得李子柒的视频是假的，中国的农村根本不是这个样子，我想对你们说，中国的农村确实不是这个样子。
但展示中国农村的真实面貌根本不是她视频的主题。你们之所以看到如此唯美的视频时会产生不适，是因为它颠覆了你们对中国的印象，这不是你们了解的中国。
真实的中国应该环境脏乱，人民素质低下。你们为此感到难堪，甚至痛苦。你们本能的抵制美化中国的事物，因此才对这里的视频持怀疑态度。
有许多人因为鄙夷中国的现状“逃出”了或希望“逃出”中国，然而他们也许没料到，对于自己故乡的自卑将永远如梦魇一般缠绕。在人们享受李子柒视频的唯美与恬静时，他们感到的是厌恶和愤怒；在人们赞叹中国的发展进步时，他们也不会有一丝喜悦；某发达国家感受到中国的威胁想要遏制中国时，有些人甚至成为了帮凶。那些鄙夷自己出身的人，其实也在鄙夷着自己。中国是他们的心魔，只要一提起他们就受煎熬。
我想提醒这些人，生活在中国的14亿人口，他们个个也都是有血有肉，他们都在追求幸福平静的生活。他们也都有各自的创造力和想象力，怎么就不能创造出这么高水平的作品来呢？中国怎么就不能有美好的事物了呢？
那些觉得自己受到冒犯的人，如果你身在国外，请你安静的离开这个频道，忘掉关于中国的一切，同时希望你活得轻松些，有尊严些。如果你身在国内，请你睁开眼重新打量一下周围的一切，也许还有更多美的事物等着你去发现。即便发现不了，多花些时间陪陪家人，也是美事一桩。


——以上只是写给那些着了魔的中国人"
9699,UgxeDjXMOCo9vlzxzEZ4AaABAg.99hgqgWegqn9AGIHnRs3sP,1,2 years ago,"@nsmall4890 i won't do this to hate nobody. i just tell you everything is fake and i hate someone liar. i will never stand by liar. i prefer she said the truth, not fooling us.",@nsmall4890我不会那样讨厌任何人。我只是告诉你，一切都是假的，我讨厌一个骗子。我永远不会忍受骗子。我更喜欢她说真话，而不是欺骗我们。
16818,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI939Dzs_8Kqk,1,3 years ago,"邹鲁 i said that at the end. i know it’s art. i personally don’t care if it’s fake, but i can empathize with people who would think it is and hate on the video. the objects and people are real for sure. it’s just the scenes are set up to make it look instagram-worthy and all the junk is set aside and off camera.",邹邹我最后说。我知道这是艺术。我个人不在乎它是否是假的，但我可以同情那些认为这是并且在视频中讨厌的人。对象和人们肯定是真实的。只是设置了场景，以使其看起来值得Instagram，并且所有垃圾都放在一旁并关闭相机。
26856,UgywTiWqhXg1wGqm2Eh4AaABAg.8ykTWcz2fwz8ylck7rHfVG,1,3 years ago (edited),"the only shopping site is only available for alibaba. https://liziqi.tmall.com/
everything else is fake!!!","唯一的购物网站仅适用于阿里巴巴。 https://liziqi.tmall.com/
其他一切都是假的！！！"
26906,UgyIms1hOLaWVF7KU-t4AaABAg.8yk1CEr2f_e8ynVAQIvMYt,1,3 years ago,@ishtarsummers1981 some turks dream of xinjiang as their place，they create fake news,@ishtarsummers1981一些土耳其人梦想新疆作为他们的位置，他们创造了假新闻
31308,Ugz_ReKVKfPJGD3GQ7Z4AaABAg,1,3 years ago,"as soon as the fake shot, the bamboo shoots were too heavy to move the lens",拍的假的一逼，笋太重了背不动就转移了镜头
2802,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9UpqwEB2i2N,1,1 year ago,"@edwardwongliupepelutivrusk1262 you just said liziqi shows her mountain life ""in a beautiful way"". what else were you implying other than in real life life in the mountains is unattractive??? the problem is people come in the comments to appreciate her hard work, manual labor and the beauty of bein so close to nature but yall just looooove to go ahead and treat em like they're dumb saying ""that's fake"" we cant even appreciate her vlogs in peace without politically correct people like you coming in damn",@Edwardwongliupepelutivrusk1262您刚刚说Liziqi“以美丽的方式展示了她的山生活”。除了在山区的现实生活中，您还暗示什么是没有吸引力的？？？问题是人们会在评论中欣赏她的辛勤工作，体力劳动和Bein的美丽，但是你们只是loo looove继续前进，对待他们愚蠢地说“那是假的”，我们甚至不能欣赏她像你这样的政治上正确的人和平的视频博客，像你那样
29884,UgzNIejJZ8lrgdZqoGF4AaABAg,1,3 years ago,i don't know rick it looks fake...,我不知道里克看起来是假的...
32446,Ugzmd-7nOEEY95rUZkx4AaABAg.8yUtoav-gjJ8yVJnW8uywf,1,3 years ago,"@user-jw8lu6gc2p he is a fake monk, six are not clean, haha.",@user-jw8lu6gc2p 他是假和尚，六根不净，呵呵。
2057,UgxqX1-TMTeEE0lL2iB4AaABAg,1,1 year ago,"hypocritical chinese. li ziyi can get angry, the first relying on his second team. but good times are not long. whenever the interests are, the chinese always like to fight in the nest and be intimidating. the chinese are too fake!",虚伪的中国人。李子柒能火起来，第一靠自己第二靠团队。可好景不长，每当利益关系的时候，中国人总是喜欢窝里斗，勾心斗角。中国人太假了！
17152,UgxNuJ4xdgUvUJMy-Ml4AaABAg,0,3 years ago,"obviously it is fake video, it is not real life of chinese farmer. it only shows the gains without pains.",显然是假录像带，不是中国农民的现实生活。它只显示出无痛苦的收益。
17153,UgzJ_Gw3i53YJ8WXj814AaABAg,0,3 years ago,although i know it is fake.,虽然知道是假的.但拍的很美
17159,UgzP6B92GjKZtQjiDBx4AaABAg,0,3 years ago,fake,假
17754,UgzQ29kfoAGCyvGt72d4AaABAg,0,3 years ago,should not use hammer but a heavy wood stick.....to cover the fakeness.,不应使用锤子，而应使用重型木棍.....覆盖伪造。
17488,UgzYg9lV4WPYoS1mPOd4AaABAg.92jkWAaeg_e92tyXOkkWkY,0,3 years ago,yes it must be nice to be a billionaire in china by making fake lifestyle videos for western audiences who take it for real,是的，通过为西方观众制作虚假的生活方式视频，成为中国的亿万富翁一定很高兴
17506,UgyAlLdVriwtvoOpNzF4AaABAg,0,3 years ago,fake farmers,假农民
17560,Ugy6_vIHnOI0jsKcogt4AaABAg,0,3 years ago,"this is really a person who can really cook and really live in the countryside
i can choose the hills that are impossible to appear with those who pretend to be rural people.
i prefer this simple one than those who fake","这才是真的会做菜 也是真的在乡村生活的人 
跟那些装逼的 装成自己是乡村人 结果食材都挑选山里不可能出现而且极度昂贵的好上不知道千百倍
比起那些造假的更喜欢这种朴实的"
31486,UgwUyESYva-00YZisfx4AaABAg.8yVCxkFMJj18yW3is4Mmyh,0,3 years ago,i don’t think you can fake views,我认为你不能伪造观点
34150,UgyHxHqA66okHaL_m5J4AaABAg,0,3 years ago (edited),"i think it's one of the fake chinese government channel to make you think china is great. 
free tibet","我认为这是中国政府频道之一，使您认为中国很棒。
免费西藏"
22942,UgxSKjSaOg5l6UTVji14AaABAg.8ztbBMNLOj28zwVoXYd1OL,0,3 years ago,this is a fake china is still very poor,这是一个假的中国仍然很差
18202,Ugxu60tajHiRXoTKGPx4AaABAg,0,3 years ago (edited),"this is not chinese life and her real life, kind of drama play actually, people in china have different attitudes towards this channel because these are all ""fake"" drama play. the reality of chinese rural area is poor, out of electricity/fresh water and no health care. no one really does these cooking, she has a team to plan all these for her we hate her videos because it makes people from other countries thought chinese lives in rural are easy, simple and fun. but actually it is totally opposite!",这不是中国的生活和她的现实生活，实际上是戏剧，中国的人们对这个频道有不同的态度，因为这些都是“假”戏剧。中国农村地区的现实很差，出于电力/淡水而没有医疗保健。没有人真正做这些烹饪，她有一个团队来为她计划所有这些，我们讨厌她的视频，因为这使来自其他国家的人们认为中国人在农村生活很容易，简单和有趣。但是实际上是完全相反的！
18060,UgxBNOEbXvea0YqCmJl4AaABAg.92bpytRnG4Q92cqYQOK1Vq,0,3 years ago,"let me tell you why it’s fake, and totally a lie: 1. the pictures here were never a real life of rural life in china before, neither today. it’s an acting. she is a good actress. 2. it’s true she made her meal from scratch. looks like all natural and organic. however through these videos she sells products all made by industrial line. none of those are organic. 3. she has official youtube channel itself shows somehow she is privileged to break chinese law to show so called “chinese value” to the world. i am not saying the law is good. i am just curious who backs her to do this. 4. her videos are generating 84,000,000 chinese yuan (12,000,000 usd) a year partnering with a privileged government backed family to show you a fairy tale, a quiet and soothing life far from business and industry. if this is not lie, what the hell would a lie be like? ! 5. i didn’t say i hate ccp, you said that. i didn’t even mention these three letters. if you hate ccp, may god bless you.....","让我告诉你为什么这是假的，完全是谎言：1。今天，这里的照片从来都不是中国的乡村生活，今天都不是。这是一个表演。她是一个好女演员。 2.确实，她从头开始吃饭。看起来所有天然和有机。但是，通过这些视频，她出售了由工业系列生产的产品。这些都不是有机的。 3.她的YouTube官方频道本身表明她有幸违反中国法律，向世界展示了所谓的“中国价值”。我并不是说法律是好的。我只是好奇谁支持她这样做。 4.她的视频每年产生84,000,000个中国人民币（12,000,000美元），与一个有特权的政府支持的家庭合作，向您展示一个童话故事，远离商业和行业的安静而舒缓的生活。如果这不是谎言，那谎言会是什么样？呢5.我不是说我讨厌CCP，你这么说。我什至没有提到这三个字母。如果您讨厌CCP，愿上帝保佑您....."
23203,UgxJZEzLaPWHr6LcbiN4AaABAg.8zomWmQWVX58zsV47vAcTp,0,3 years ago,it'll looks fake then,那看起来是假的
29830,UgyPk6nwvFKlRbz6VfJ4AaABAg,0,3 years ago,"does anyone have ever thought this entire channel might be a fake, something releted to the communism xddd",有没有人以为整个渠道可能是假的，这是一个重新与共产主义xddd相关的
18505,UgxHdQVixDuUrKvwBaZ4AaABAg,0,3 years ago,"the picture is too fake. at first glance, it is acting",画面太假了 一看就是演戏
18531,UgwFsgKBe50sBFkQ9xF4AaABAg.92TZpu48m6092fOrtUrd01,0,3 years ago,"this is the truth, obviously fake, why bother is more real?",这才是真话，明显都是假的，何必较真儿
29773,Ugx0VPrFrPVSwjaFA9F4AaABAg,0,3 years ago,natural nature at its finest. living off the land is the way to go minus the fakeness in our world.,自然性质最好。在土地上生活是减去我们世界上伪造的方式。
18678,Ugw4cmct7aTzZN-yW2p4AaABAg,0,3 years ago,this has a strong fake countryside vibe . . .,这具有强烈的假乡村氛围。 。 。
27579,UgyvwuhC4Le7eoo9-rt4AaABAg,0,3 years ago (edited),how boring these videos. so fake too.,这些视频多么无聊。也是假的。
19991,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq96pitAGouk7,0,3 years ago,"that's because her videos are just like cnn or new york times reports ,fake fake fake",那是因为她的视频就像CNN或New York Times报告，假冒假货
26604,UgxEokYC3NqLE3C8kTZ4AaABAg,0,3 years ago,fake,伪造的
16822,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI939IBLHdMA_,0,3 years ago (edited),"@tehkettybear btw, you face looks so fake, why do you use ps? lmao! jealous make you so ugly!",@tehkettybear顺便说一句，你脸看起来很虚假，为什么使用PS？ lmao！嫉妒使你如此丑陋！
20006,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9ZCDXZ_blwO,0,1 year ago,"some people think it’s too staged, too fake. however, she openly admits there is a production team behind the whole thing. watch it as a reality show or cooking show. it’s beautiful and relaxing. don’t assume it’s a documentary of any ordinary chinese country. it is not, and she never claimed it to be.",有些人认为它太伪造了。但是，她公开承认整个事情背后都有一个生产团队。将其视为真人秀或烹饪节目。美丽而轻松。不要以为这是任何普通的中国国家的纪录片。不是，她从来没有声称这是。
20062,UgzYa4e8Engac6qdHgN4AaABAg.91D7nY9r54X91Ejzt9BDga,0,3 years ago,not as half fake as your korean face ❤️❤️❤️❤️,不像韩国脸的一半❤️❤️❤️❤️
23686,UgyzSWdVrY2sVVisaKV4AaABAg,0,3 years ago,these kind of videos are so in line with our times. fake videos showing unattainable lifestyles. the truth is she is probably an actress with a huge crew behind this production. she probably doesn't even live like this.,这些视频与我们时代是如此。虚假视频显示无法实现的生活方式。事实是，她可能是一位女演员，这部作品背后有庞大的工作人员。她甚至可能都没有这样的生活。
988,Ugyhzhvn-kRm091t_Ch4AaABAg,0,1 year ago,fake show,假秀
16379,Ugzh1lJ1iaoKvh0xrj94AaABAg,0,3 years ago (edited),"where are your fake videos and the dad of tianchao? this has nothing to do with the aesthetic fart of ordinary people in chinese people. this film is more suitable for it in tiananmen gate. i can't figure out why there are so much attention, and i am drunk.",你这些假视频和天朝的爸爸去哪，如出一辙！这和中国普通百姓的生活审美屁个关系都没有。这片子更适合放在天安门里面看，想不通为什么会有这么多关注量，也是醉了。
16721,UgwAjA66XrCX1Z28ZmR4AaABAg,0,3 years ago,"ccp's abroad, fake video",中共大外宣，fake video
11360,Ugxgkml3fqclasUDS1t4AaABAg,0,3 years ago,the fake village aunt is now again.,假村姑又现世了。
9720,UgylmO4gF6e_AXx4-TF4AaABAg,0,3 years ago (edited),"even if this is all fake. i still enjoy it very much. itโ€s like therapy, soothes my mind",即使这都是假的。我仍然非常喜欢。就像疗法一样，舒缓我的想法
9666,Ugy7E93RUUdPOzZ9pB54AaABAg.99jJUvcYZ0k9A2d2xpzxa3,0,2 years ago,you are fake,你是假的
9664,Ugy7E93RUUdPOzZ9pB54AaABAg,0,3 years ago,fake life movieใ€,假生活电影。
9199,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9BcRU4aHxvI,0,2 years ago,"@user-us5ec5ev4h ""no wonder the communist bandits do not report floods. it turned out to be fake. fortunately, no one in the world donated you.",@user-us5ec5ev4h 哟难怪共匪不报道洪水。原来都是假的呀。幸好全世界没人给你们捐款。
8624,Ugw-7jWrPMeY3255V-t4AaABAg,0,2 years ago,if yโ€all says this is fake then why you watching?? click out we donโ€t want karens here,如果你们都说这是假的，那你为什么看？点击我们不要在这里Karens
6697,Ugy4m-ukk4hMsdn7ctd4AaABAg.9EZMfWhD0p_9E_w7_JnL6o,0,2 years ago,she is fake and liar,她是假的骗子
6635,UgwYzsUsrgK7AVzoGGN4AaABAg,0,2 years ago,"eating with satisfaction a bowl of snail and pasta. good food, all fake, but beautiful ... ah, the art of filming ...",一碗蜗牛和面食满意。美味的食物，都是假的，但是美丽...啊，拍摄艺术...
6313,Ugz5wxlPDxlQinAqpsp4AaABAg.9EssGJGeUVc9Hu5_5xSu6E,0,2 years ago (edited),itโ€s fake wake up,这是假唤醒
6291,Ugx3QHUwiQiSiaAophR4AaABAg,0,2 years ago,fake.,伪造的。
6141,UgzAikkSA4XVEBWmuap4AaABAg,0,2 years ago,those ๐ ain't the ones she picked. obviously different sizes. why everything has to be fake in china?,那些不是她选的。显然大小不同。为什么一切都必须是假的？
6053,UgzOeZmUAK2eU5Mh5rN4AaABAg,0,2 years ago,fake,伪造的
5951,UgwRwwxe31pJjZZaUTh4AaABAg,0,2 years ago,fake,好假
4635,UgyqlJVXVRBt5hYfviJ4AaABAg.9JC7ArXt6XW9JJYDv-2d2j,0,2 years ago,"@cindyfu7692 if our history is fake, at first you, yin, zhou, yuan, ming, qing dynasty cannot exist to take out the evidence behind you to write an article","@cindyfu7692 如果我们的历史是假的, 最初你们尚, 殷, 周, 元, 明, 清朝是不可能存在的 拿出你写文章背后的证据"
3067,UgwiycbqpB6YcrpvNWV4AaABAg,0,1 year ago,"this life is we all need ...
fake people stress of work pollution air in city ...after watched this video i’m just dream to lived in her home","这一生我们都需要...
假人在城市的工作压力污染空气...在观看此视频后，我梦dream以求的是住在她家里"
3051,UgxYKslmBjYg6UHhqH14AaABAg,0,1 year ago,put on a show? fake real,做戏？假到真的一样
2253,UgxwKJqf8t3x7HGVHdp4AaABAg,0,1 year ago,all are fake what a country china,所有都是一个伪造的国家中国
1585,Ugxr571YIceSuP1iFHF4AaABAg,0,1 year ago,fake! destroy the communist party of china,假的！天灭中共
10195,UgxuA40u3kwEz3FjasZ4AaABAg,0,3 years ago,"fake vedio, fake to be criticized",Fake vedio，假得批爆
12270,UgzQBqPDEuUuyPau9QZ4AaABAg,0,3 years ago,"spend a lot of money on fake, acting, and illusory movies. imaginary xanadu life, fake video out of reality, there is no real world. deceive ctr!",在假，表演和虚幻的电影上花很多钱。虚构的Xanadu生活，从现实中伪造的视频，没有现实世界。欺骗CTR！
16645,UgwMQA_MwOKbZPrS3YJ4AaABAg,0,3 years ago,do you spend a bunch of money to buy fake views and leave a message like this really make money ??? i am not possible,你这样花一堆钱买假views跟假留言 这样真的赚钱吗??? 不可能吧
12272,UgwfsD7miIGOfF9Bhb94AaABAg,0,3 years ago,"it is made of a large price, false, performance, unreal movie. fantasy world taoyuan life, fake videos that are separated from reality, do not exist in the real world. fraud at the click rate!",花大价钱制作出来的，虚假的，表演的，虚幻的电影而已。幻想的世外桃源生活，脱离现实的假视频，真实世界是不存在的。骗点击率而已！
16644,Ugy4_LCOoZITbxJDb-l4AaABAg,0,3 years ago,"fake views, fake comments, even fake video content, how fake is ur life",假景色，假评论，甚至是假视频内容，您的生活如何假
